"Maxwell Horton kickoff 55 yards to the MARITIME10, W. Patsakos return 32 yards to the MARITIME42 (Maxwell Horton;Joel Bennett)."
Maritime (N.Y.) at 15:00
1st and 10 at MARITIME42,A. Geni rush for 2 yards to the MARITIME44 (Spencer Baron).
2nd and 8 at MARITIME44,"C. Schiavone rush for 9 yards to the MAINE47, 1ST DOWN MARITIME (Aidan Plumpton;Zackery Brannon)."
1st and 10 at MAINE47,R. Wheeler pass complete to A. Geni for 6 yards to the MAINE41.
2nd and 4 at MAINE41,"C. Schiavone rush for 4 yards to the MAINE37, 1ST DOWN MARITIME, out-of-bounds (Zackery Brannon)."
1st and 10 at MAINE37,R. Wheeler pass incomplete to V. Vollaro.
2nd and 10 at MAINE37,C. Schiavone rush for 6 yards to the MAINE31 (Spencer Baron).
3rd and 4 at MAINE31,3rd and 4.
3rd and 4 at MAINE31,"H. Williamson rush for 4 yards to the MAINE27, 1ST DOWN MARITIME (Terrell Thomas;Aidan Plumpton)."
1st and 10 at MAINE27,"R. Wheeler rush for 2 yards to the MAINE25, out-of-bounds (Terrell Thomas)."
2nd and 8 at MAINE25,W. Patsakos rush for 3 yards to the MAINE22 (Maxwell Horton;Zackery Brannon).
3rd and 5 at MAINE22,"Timeout Maritime (N.Y.), clock 09:55."
3rd and 5 at MAINE22,W. Patsakos rush for loss of 4 yards to the MAINE26 (Spencer Baron;Aidan Plumpton).
4th and 9 at MAINE26,"R. Wheeler rush for 16 yards to the MAINE10, 1ST DOWN MARITIME (Terrell Thomas)."
1st and GOAL at MAINE10,W. Patsakos rush for 1 yard to the MAINE9 (Koa Farnsworth).
2nd and GOAL at MAINE09,H. Williamson rush for 7 yards to the MAINE2 (Spencer Baron).
3rd and GOAL at MAINE02,"H. Williamson rush for 2 yards to the MAINE0, TOUCHDOWN, clock 07:16."
1st and GOAL at MAINE03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 40 yards to the MAINE25, Tyler Pelletier return 7 yards to the MAINE32 (O. Haeseker)."
Total,"14 plays , 58 yards Time of Possession: 7:44"
Maine Maritime at 07:10
1st and 10 at MAINE32,MAINE MARITIME drive start at 07:10.
1st and 10 at MAINE32,Nikolas Moquin pass incomplete to Tyler Pelletier.
2nd and 10 at MAINE32,Cooper Chiasson rush for 1 yard to the MAINE33 (S. Escaldi).
3rd and 9 at MAINE33,"Nikolas Moquin pass incomplete to Dominic Casale (T. Trapani), QB hurry by J. Corsfield."
4th and 9 at MAINE33,"PENALTY MARITIME pass interference (T. Trapani) 11 yards to the MAINE44, 1ST DOWN MAINE."
1st and 10 at MAINE44,"Nikolas Moquin pass incomplete to Dominic Casale, QB hurry by W. Betencourt."
2nd and 10 at MAINE44,Nikolas Moquin pass complete to Cooper Chiasson for 6 yards to the 50 yardline (L. Bailey).
