"MARITIME ball on MARITIME35, clock 15:00."
"J. Gagliardi kickoff 50 yards to the MASSMA15, Ja'iel Johnson return 21 yards to the MASSMA36 (J. Snuffer;F. Vano)."
Mass. Maritime at 15:00
1st and 10 at MASSMA36,MASS. MARITIME drive start at 15:00.
1st and 10 at MASSMA36,"Matt Long rush for 64 yards to the MARITIME0, 1ST DOWN MASSMA, TOUCHDOWN, clock 14:45."
1st and GOAL at MARITIME03,George Lampros kick attempt good.
1st and GOAL at MASSMA35,"George Lampros kickoff 64 yards to the MARITIME1, C. Schiavone return 17 yards to the MARITIME18 (Thomas Duncan)."
Total,"1 plays , 64 yards Time of Possession: 0:15"
Maritime (N.Y.) at 14:45
1st and 10 at MARITIME18,MARITIME (N.Y.) drive start at 14:45.
1st and 10 at MARITIME18,R. Wheeler sacked for loss of 5 yards to the MARITIME13 (Colin McCabe).
2nd and 15 at MARITIME13,R. Wheeler rush for 8 yards to the MARITIME21.
3rd and 7 at MARITIME21,R. Wheeler sacked for loss of 7 yards to the MARITIME14 (Kyle Johnston;Gerard Mackin).
4th and 14 at MARITIME14,"J. Gagliardi punt 38 yards to the MASSMA48, downed."
Total,"3 plays , -4 yards Time of Possession: 2:10"
Mass. Maritime at 12:35
1st and 10 at MASSMA48,MASS. MARITIME drive start at 12:35.
1st and 10 at MASSMA48,Conner Reynolds rush for 1 yard to the MASSMA49 (L. Bailey).
2nd and 9 at MASSMA49,Matt Long pass complete to Ryan McNally for 6 yards to the MARITIME45.
3rd and 3 at MARITIME45,"Matt Long rush for 25 yards to the MARITIME20, 1ST DOWN MASSMA (J. Snuffer;J. Behr)."
1st and 10 at MARITIME20,"Matt Long pass complete to Dane Campbell for 7 yards to the MARITIME13 (J. Snuffer), out-of-bounds."
2nd and 3 at MARITIME13,"Conner Reynolds rush for 4 yards to the MARITIME9, 1ST DOWN MASSMA (L. Bailey;F. Vano)."
1st and GOAL at MARITIME09,"Matt Long rush for 9 yards to the MARITIME0, TOUCHDOWN, clock 10:02."
1st and GOAL at MARITIME03,George Lampros kick attempt good.
1st and GOAL at MASSMA35,"George Lampros kickoff 56 yards to the MARITIME9, C. Schiavone return 15 yards to the MARITIME24 (Nick Khoury;James Coley)."
Total,"6 plays , 52 yards Time of Possession: 2:33"
Maritime (N.Y.) at 10:02
1st and 10 at MARITIME24,MARITIME (N.Y.) drive start at 10:02.
1st and 10 at MARITIME24,W. Patsakos rush for 7 yards to the MARITIME31 (Sean Smialek).
2nd and 3 at MARITIME31,"C. Schiavone rush for 19 yards to the 50 yardline, 1ST DOWN MARITIME (Cameron Stewart)."
1st and 10 at MARITIME50,"R. Wheeler pass complete to A. Geni for 3 yards to the MASSMA47 (Austin Stahmer), out-of-bounds."
2nd and 7 at MASSMA47,R. Wheeler rush for loss of 15 yards to the MARITIME38 (Cameron Stewart;Austin Stahmer).
3rd and 22 at MARITIME38,"W. Patsakos rush for 29 yards to the MASSMA33, 1ST DOWN MARITIME (Austin Stahmer;Kyle Johnston)."
1st and 10 at MASSMA33,"R. Wheeler rush for 13 yards to the MASSMA20, 1ST DOWN MARITIME (Austin Stahmer;Sean Smialek)."
1st and 10 at MASSMA20,"Timeout Maritime (N.Y.), clock 06:21."
1st and 10 at MASSMA20,PENALTY MARITIME false start (P. Stickle) 5 yards to the MASSMA25.
1st and 15 at MASSMA25,R. Wheeler rush for 2 yards to the MASSMA23 (Sean Smialek;Jack Fontana).
2nd and 13 at MASSMA23,R. Wheeler rush for 8 yards to the MASSMA15 (Sean Smialek).
3rd and 5 at MASSMA15,"R. Wheeler pass complete to A. Geni for 15 yards to the MASSMA0, 1ST DOWN MARITIME, TOUCHDOWN, clock 04:52."
1st and GOAL at MASSMA03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 54 yards to the MASSMA11, Dane Campbell return 24 yards to the MASSMA35 (T. Trapani), out-of-bounds."
Total,"9 plays , 76 yards Time of Possession: 5:10"
Mass. Maritime at 04:52
1st and 10 at MASSMA35,MASS. MARITIME drive start at 04:52.
1st and 10 at MASSMA35,"Timeout Mass. Maritime, clock 04:41."
1st and 10 at MASSMA35,Matt Long rush for 1 yard to the MASSMA36 (W. Betencourt).
2nd and 9 at MASSMA36,"Matt Long pass complete to Will Bennett for 52 yards to the MARITIME12, 1ST DOWN MASSMA (T. Trapani)."
1st and 10 at MARITIME12,QB hurry by W. Betencourt.
1st and 10 at MARITIME12,Conner Reynolds rush for 1 yard to the MARITIME11 (F. Vano).
2nd and 9 at MARITIME11,Conner Reynolds rush for 3 yards to the MARITIME8 (J. Lupardo;W. Betencourt).
3rd and 6 at MARITIME08,Conner Reynolds rush for 2 yards to the MARITIME6 (F. Vano).
4th and 4 at MARITIME06,"George Lampros field goal attempt from 23 GOOD, clock 01:45."
1st and GOAL at MASSMA35,"George Lampros kickoff 54 yards to the MARITIME11, W. Patsakos return 20 yards to the MARITIME31 (Brady Bailey;James Coley)."
Total,"6 plays , 59 yards Time of Possession: 3:07"
Maritime (N.Y.) at 01:45
1st and 10 at MARITIME31,MARITIME (N.Y.) drive start at 01:45.
1st and 10 at MARITIME31,W. Patsakos rush for 1 yard to the MARITIME32 (Andrew Luciano;Jack Fontana).
2nd and 9 at MARITIME32,"R. Wheeler rush for 15 yards to the MARITIME47, 1ST DOWN MARITIME (Jack Fontana;Kyle Rogers)."
1st and 10 at MARITIME47,C. Schiavone rush for 4 yards to the MASSMA49 (Kyle Johnston;Colin McCabe).
2nd and 6 at MASSMA49,"R. Wheeler rush for 7 yards to the MASSMA42, 1ST DOWN MARITIME (Jack Fontana)."
""
1st and 10 at MASSMA42,"Start of 2nd quarter, clock 15:00."
1st and 10 at MASSMA42,R. Wheeler pass incomplete.
2nd and 10 at MASSMA42,R. Wheeler sacked for loss of 11 yards to the MARITIME47 (Jack Fontana;Colin McCabe).
3rd and 21 at MARITIME47,"R. Wheeler rush for 25 yards to the MASSMA28, 1ST DOWN MARITIME (Cameron Stewart)."
1st and 10 at MASSMA28,H. Williamson rush for 3 yards to the MASSMA25 (Sean Smialek).
2nd and 7 at MASSMA25,H. Williamson rush for 2 yards to the MASSMA23 (Benjamin Jordan).
3rd and 5 at MASSMA23,R. Wheeler sacked for loss of 10 yards to the MASSMA33 (Sean Smialek).
4th and 15 at MASSMA33,R. Wheeler rush for 10 yards to the MASSMA23 (Jack Fontana).
Total,"11 plays , 46 yards Time of Possession: 5:12"
Mass. Maritime at 11:33
1st and 10 at MASSMA23,MASS. MARITIME drive start at 11:33.
1st and 10 at MASSMA23,Matt Long rush for 7 yards to the MASSMA30 (F. Vano).
2nd and 3 at MASSMA30,"Matt Long pass complete to Will Bennett for 16 yards to the MASSMA46, 1ST DOWN MASSMA (D. Stephens)."
1st and 10 at MASSMA46,Conner Reynolds rush for 4 yards to the 50 yardline (J. Corsfield).
2nd and 6 at MASSMA50,"Matt Long pass complete to Leo Allgaier for 6 yards to the MARITIME44, 1ST DOWN MASSMA (D. Stephens)."
1st and 10 at MARITIME44,Conner Reynolds rush for loss of 1 yard to the MARITIME45 (L. Bailey).
2nd and 11 at MARITIME45,Ty Ebdon pass complete to Matt Long for 1 yard to the MARITIME44 (F. Vano).
3rd and 10 at MARITIME44,"Matt Long pass incomplete, PENALTY MASSMA intentional grounding (Matt Long) 11 yards to the MASSMA45, NO PLAY."
4th and 21 at MASSMA45,"George Lampros punt 41 yards to the MARITIME14, A. Geni return 9 yards to the MARITIME23 (Leo Munafo), out-of-bounds."
Total,"6 plays , 22 yards Time of Possession: 3:40"
Maritime (N.Y.) at 07:53
1st and 10 at MARITIME23,MARITIME (N.Y.) drive start at 07:53.
1st and 10 at MARITIME23,"A. Geni rush for 13 yards to the MARITIME36 (Austin Stahmer), PENALTY MARITIME holding (L. McManus) 10 yards to the MARITIME13, NO PLAY."
1st and 20 at MARITIME13,"R. Wheeler pass complete to A. Geni for 11 yards to the MARITIME24, out-of-bounds."
2nd and 9 at MARITIME24,"R. Wheeler rush for 16 yards to the MARITIME40, 1ST DOWN MARITIME (Hunter Leveille)."
1st and 10 at MARITIME40,W. Patsakos rush for no gain to the MARITIME40 (Colin McCabe;Kyle Johnston).
2nd and 10 at MARITIME40,"R. Wheeler rush for 45 yards to the MASSMA15, 1ST DOWN MARITIME (Kyle Rogers)."
1st and 10 at MASSMA15,C. Schiavone rush for loss of 1 yard to the MASSMA16 (Jack Fontana;Gerard Mackin).
2nd and 11 at MASSMA16,"H. Williamson rush for 14 yards to the MASSMA2, 1ST DOWN MARITIME (Jack Fontana)."
1st and GOAL at MASSMA02,H. Williamson rush for 1 yard to the MASSMA1 (Gerard Mackin).
