"Change of possession, USMMA ball on USMMA35, 1st and 10.
                                                        
                                                                USMMA won the coin toss and deferred to the second half."
Merchant Marine at 15:00
1st and 10 at USMMA35,"Gavin Gartner kickoff 47 yards to the MARITIME18, H. Williamson return 4 yards to the MARITIME22 (Brian McGovern)."
Total,"0 plays , 0 yards Time of Possession: 0:05"
Maritime (N.Y.) at 14:55
1st and 10 at MARITIME22,MARITIME (N.Y.) drive start at 14:55.
1st and 10 at MARITIME22,PENALTY MARITIME false start (M. Laurenti) 5 yards to the MARITIME17.
1st and 15 at MARITIME17,M. Varela pass incomplete to M. Cebulski (Nick Austell).
2nd and 15 at MARITIME17,M. Varela rush for 2 yards to the MARITIME19 (Nick Austell).
3rd and 13 at MARITIME19,M. Varela pass complete to C. Judge for 8 yards to the MARITIME27 (C. Williams).
4th and 5 at MARITIME27,"J. Gagliardi punt 58 yards to the USMMA15, Joe Vitelli return 10 yards to the USMMA25 (P. Stickle)."
Total,"3 plays , 5 yards Time of Possession: 1:26"
Merchant Marine at 13:29
1st and 10 at USMMA25,MERCHANT MARINE drive start at 13:29.
1st and 10 at USMMA25,James Early rush for 1 yard to the USMMA26 (J. Lupardo).
2nd and 9 at USMMA26,"Krystian Abbott rush for 14 yards to the USMMA40, 1ST DOWN USMMA (J. Varga;D. Stephens)."
1st and 10 at USMMA40,Matt Restifo rush for 7 yards to the USMMA47 (J. Snuffer).
2nd and 3 at USMMA47,"James Early rush for 5 yards to the MARITIME48, 1ST DOWN USMMA (J. Corsfield)."
1st and 10 at MARITIME48,James Early rush for no gain to the MARITIME48 (F. Vano).
2nd and 10 at MARITIME48,Krystian Abbott rush for no gain to the MARITIME48 (L. Bailey).
3rd and 10 at MARITIME48,"Krystian Abbott pass complete to Joe Vitelli for 12 yards to the MARITIME36, 1ST DOWN USMMA (T. Trapani)."
1st and 10 at MARITIME36,Tyler Reihs rush for 8 yards to the MARITIME28 (J. Snuffer;D. Stephens).
2nd and 2 at MARITIME28,Krystian Abbott rush for no gain to the MARITIME28 (L. Bailey;J. Lupardo).
3rd and 2 at MARITIME28,"James Early rush for 4 yards to the MARITIME24, 1ST DOWN USMMA (J. Lupardo)."
1st and 10 at MARITIME24,James Early rush for 3 yards to the MARITIME21 (J. Corsfield;W. Betencourt).
2nd and 7 at MARITIME21,James Early rush for 3 yards to the MARITIME18 (L. Bailey).
3rd and 4 at MARITIME18,Krystian Abbott sacked for loss of 3 yards to the MARITIME21 (W. Betencourt).
4th and 7 at MARITIME21,"Gavin Gartner field goal attempt from 38 MISSED - wide left, spot at MARITIME21, clock 07:20."
Total,"14 plays , 54 yards Time of Possession: 6:09"
Maritime (N.Y.) at 07:20
1st and 10 at MARITIME21,MARITIME (N.Y.) drive start at 07:20.
1st and 10 at MARITIME21,"M. Varela pass complete to A. Geni for 1 yard to the MARITIME22, out-of-bounds (C. Williams)."
2nd and 9 at MARITIME22,M. Varela pass incomplete to V. Vollaro (Xavier Coleman).
3rd and 9 at MARITIME22,"M. Varela pass complete to C. Judge for 42 yards to the USMMA36, 1ST DOWN MARITIME (C. Williams)."
1st and 10 at USMMA36,PENALTY MARITIME false start (L. McManus) 5 yards to the USMMA41.
1st and 15 at USMMA41,C. Schiavone rush for 5 yards to the USMMA36 (Noah Newburgh;Eric Davidson).
2nd and 10 at USMMA36,C. Schiavone rush for 3 yards to the USMMA33 (Reno Dubreuil;Ethan Brady).
3rd and 7 at USMMA33,M. Varela pass incomplete to A. Geni.
4th and 7 at USMMA33,PENALTY MARITIME false start (M. Laurenti) 5 yards to the USMMA38.
4th and 12 at USMMA38,"J. Gagliardi punt 21 yards to the USMMA17, out-of-bounds."
Total,"6 plays , 41 yards Time of Possession: 2:40"
Merchant Marine at 04:40
1st and 10 at USMMA17,MERCHANT MARINE drive start at 04:40.
1st and 10 at USMMA17,Alec Kiernan rush for 7 yards to the USMMA24 (L. Bailey).
2nd and 3 at USMMA24,"Alec Kiernan rush for 7 yards to the USMMA31, 1ST DOWN USMMA (L. Bailey)."
1st and 10 at USMMA31,"Alec Kiernan rush for 14 yards to the USMMA45, 1ST DOWN USMMA (J. Snuffer)."
1st and 10 at USMMA45,"Alec Kiernan rush for no gain to the USMMA45 (L. Bailey;J. Lupardo), PENALTY USMMA personal foul (Matt Strong) 15 yards to the USMMA30, NO PLAY."
1st and 25 at USMMA30,Krystian Abbott pass complete to Alec Kiernan for 7 yards to the USMMA37 (J. Varga;L. Bailey).
2nd and 18 at USMMA37,Krystian Abbott rush for 7 yards to the USMMA44 (J. Snuffer;L. Bailey).
3rd and 11 at USMMA44,"Krystian Abbott pass complete to Joe Vitelli for 10 yards to the MARITIME46, out-of-bounds (J. Varga)."
4th and 1 at MARITIME46,"Brian McGovern rush for 1 yard to the MARITIME45, 1ST DOWN USMMA, out-of-bounds (J. Snuffer)."
1st and 10 at MARITIME45,Matt Strong rush for 9 yards to the MARITIME36 (J. Snuffer).
2nd and 1 at MARITIME36,"Krystian Abbott pass complete to Joe Vitelli for 30 yards to the MARITIME6, 1ST DOWN USMMA."
1st and GOAL at MARITIME06,Brian McGovern rush for 4 yards to the MARITIME2 (J. Snuffer).
""
2nd and GOAL at MARITIME02,"Start of 2nd quarter, clock 15:00."
2nd and GOAL at MARITIME02,Alec Kiernan rush for 1 yard to the MARITIME1 (L. Bailey;S. Escaldi).
3rd and GOAL at MARITIME01,"Alec Kiernan rush for 1 yard to the MARITIME0, TOUCHDOWN, clock 14:22."
1st and GOAL at MARITIME03,Gavin Gartner kick attempt good.
1st and GOAL at USMMA35,"Gavin Gartner kickoff 53 yards to the MARITIME12, W. Patsakos return 9 yards to the MARITIME21 (Kyle Goolsby;Noah Newburgh)."
Total,"12 plays , 83 yards Time of Possession: 5:18"
Maritime (N.Y.) at 14:16
1st and 10 at MARITIME21,MARITIME (N.Y.) drive start at 14:16.
1st and 10 at MARITIME21,M. Varela pass complete to A. Geni for 7 yards to the MARITIME28 (Xavier Coleman;Eric Davidson).
2nd and 3 at MARITIME28,M. Varela pass complete to A. Geni for loss of 2 yards to the MARITIME26 (Xavier Coleman).
3rd and 5 at MARITIME26,M. Varela pass incomplete to C. Judge.
4th and 5 at MARITIME26,"J. Gagliardi punt 38 yards to the USMMA36, Joe Vitelli return 10 yards to the USMMA46 (J. Behr)."
