"M. Paniahie kickoff 52 yards to the MARITIME13, C. Schiavone return 21 yards to the MARITIME34 (RJ Massey)."
Maritime (N.Y.) at 15:00
1st and 10 at MARITIME34,H. Williamson rush for 2 yards to the MARITIME36 (Andrew Anthony).
2nd and 8 at MARITIME36,M. Varela sacked for loss of 2 yards to the MARITIME34 (Bryan King).
3rd and 10 at MARITIME34,M. Varela pass incomplete to E. Borchert.
4th and 10 at MARITIME34,"J. Gagliardi punt 46 yards to the WP20, downed."
Total,"3 plays , 0 yards Time of Possession: 1:28"
William Paterson at 13:32
1st and 10 at WP20,WILLIAM PATERSON drive start at 13:32.
1st and 10 at WP20,Marcel Mason rush for 3 yards to the WP23 (W. Betencourt;L. Bailey).
2nd and 7 at WP23,Marcel Mason rush for 3 yards to the WP26 (J. Corsfield).
3rd and 4 at WP26,George Crespo pass incomplete to Marcel Mason.
4th and 4 at WP26,"William Oertel punt 35 yards to the MARITIME39, fair catch by M. Cebulski."
Total,"3 plays , 6 yards Time of Possession: 1:27"
Maritime (N.Y.) at 12:05
1st and 10 at MARITIME39,MARITIME (N.Y.) drive start at 12:05.
1st and 10 at MARITIME39,C. Schiavone rush for 1 yard to the MARITIME40 (Nasir Adams).
2nd and 9 at MARITIME40,M. Varela pass incomplete to M. Cebulski (Hassan Williams).
3rd and 9 at MARITIME40,C. Schiavone rush for 4 yards to the MARITIME44 (Jared Salgado).
4th and 5 at MARITIME44,"J. Gagliardi punt 23 yards to the WP33, downed."
Total,"3 plays , 5 yards Time of Possession: 1:24"
William Paterson at 10:41
1st and 10 at WP33,WILLIAM PATERSON drive start at 10:41.
1st and 10 at WP33,"T. Riddick rush for 14 yards to the WP47, 1ST DOWN WP (J. Corsfield)."
1st and 10 at WP47,"George Crespo pass complete to Austin Shiner for 28 yards to the MARITIME25, 1ST DOWN WP (J. Snuffer)."
1st and 10 at MARITIME25,T. Riddick rush for 2 yards to the MARITIME23 (F. Vano).
2nd and 8 at MARITIME23,George Crespo pass incomplete to Matt Clarke.
3rd and 8 at MARITIME23,"George Crespo pass complete to Matt Clarke for 12 yards to the MARITIME11, 1ST DOWN WP, out-of-bounds (F. Vano)."
1st and 10 at MARITIME11,Marcel Mason rush for 5 yards to the MARITIME6 (L. Bailey).
2nd and 5 at MARITIME06,"Marcel Mason rush for 6 yards to the MARITIME0, 1ST DOWN WP, TOUCHDOWN, clock 07:31."
1st and GOAL at MARITIME03,M. Paniahie kick attempt good.
1st and GOAL at WP35,"M. Paniahie kickoff 55 yards to the MARITIME10, M. Cebulski return 17 yards to the MARITIME27 (Isaiah Hunt)."
Total,"7 plays , 67 yards Time of Possession: 3:10"
Maritime (N.Y.) at 07:26
1st and 10 at MARITIME27,MARITIME (N.Y.) drive start at 07:26.
1st and 10 at MARITIME27,H. Williamson rush for no gain to the MARITIME27 (Bryan King;Brandon Yaw).
2nd and 10 at MARITIME27,M. Varela pass incomplete to M. Cebulski.
3rd and 10 at MARITIME27,"M. Varela pass intercepted by RJ Massey at the MARITIME47, RJ Massey return 14 yards to the MARITIME33 (E. Borchert)."
Total,"3 plays , 0 yards Time of Possession: 0:49"
William Paterson at 06:37
1st and 10 at MARITIME33,WILLIAM PATERSON drive start at 06:37.
1st and 10 at MARITIME33,George Crespo pass incomplete to Dayshawn Porter.
2nd and 10 at MARITIME33,Marcel Mason rush for loss of 1 yard to the MARITIME34 (L. Bailey).
3rd and 11 at MARITIME34,"George Crespo rush for 10 yards to the MARITIME24, out-of-bounds."
4th and 1 at MARITIME24,T. Riddick rush for no gain to the MARITIME24 (S. Escaldi).
Total,"4 plays , 9 yards Time of Possession: 1:16"
Maritime (N.Y.) at 05:21
1st and 10 at MARITIME24,MARITIME (N.Y.) drive start at 05:21.
1st and 10 at MARITIME24,"C. Schiavone rush for 15 yards to the MARITIME39, 1ST DOWN MARITIME (Hassan Williams)."
1st and 10 at MARITIME39,C. Schiavone rush for 4 yards to the MARITIME43 (Sean Maldonato;Tyler Gross).
2nd and 6 at MARITIME43,C. Schiavone rush for 2 yards to the MARITIME45 (Andrew Anthony;Dan Tomzick).
3rd and 4 at MARITIME45,"M. Varela rush for loss of 5 yards to the MARITIME40, fumble forced by TEAM, fumble by M. Varela recovered by MARITIME M. Varela at MARITIME40."
4th and 9 at MARITIME40,"TEAM rush for no gain to the MARITIME40, fumble by TEAM recovered by WP Brandon Yaw at MARITIME15, Brandon Yaw for 12 yards to the MARITIME3 (C. Conelley)."
Total,"5 plays , -9 yards Time of Possession: 2:37"
William Paterson at 02:44
1st and GOAL at MARITIME03,WILLIAM PATERSON drive start at 02:44.
1st and GOAL at MARITIME03,T. Riddick rush for 1 yard to the MARITIME2 (L. Bailey).
2nd and GOAL at MARITIME02,"Marcel Mason rush for 2 yards to the MARITIME0, TOUCHDOWN, clock 02:01."
1st and GOAL at MARITIME03,M. Paniahie kick attempt failed.
1st and GOAL at WP35,"M. Paniahie kickoff 50 yards to the MARITIME15, C. Schiavone return 16 yards to the MARITIME31 (J. Travieso)."
Total,"2 plays , 3 yards Time of Possession: 0:43"
Maritime (N.Y.) at 01:56
