"DEAN ball on DEAN35, clock 15:00."
"Jacob Bisson kickoff 51 yards to the MARITIME14, out-of-bounds, MARITIME ball on MARITIME35, clock 15:00."
Maritime (N.Y.) at 15:00
1st and 10 at MARITIME35,Maritime (N.Y.) drive start at 15:00.
1st and 10 at MARITIME35,H. Williamson rush for 3 yards to the MARITIME38 (Amani Johnson).
2nd and 7 at MARITIME38,H. Williamson rush for 3 yards to the MARITIME41 (Shamis Henry).
3rd and 4 at MARITIME41,H. Williamson rush for no gain to the MARITIME41 (Shamis Henry).
4th and 4 at MARITIME41,"J. Gagliardi punt 32 yards to the DEAN27, downed."
Total,"3 plays , 6 yards Time of Possession: 01:56"
Dean at 13:04
1st and 10 at DEAN27,Dean drive start at 13:04.
1st and 10 at DEAN27,Michael Bethune rush for 8 yards to the DEAN35 (J. Varga).
2nd and 2 at DEAN35,Errol Breaux rush for 12 yards to the DEAN47 (J. Corsfield).
1st and 10 at DEAN47,Ki'sean Bullard rush for no gain to the DEAN47 (J. Varga; L. Bailey).
2nd and 10 at DEAN47,Terrell Watts pass complete to Kameron Phuong for 6 yards to the MARITIME47 (J. Corsfield).
3rd and 4 at MARITIME47,Errol Breaux rush for 3 yards to the MARITIME44 (J. Corsfield).
4th and 1 at MARITIME44,Terrell Watts pass complete to Quintus Reid for no gain to the MARITIME44 (J. Snuffer).
Total,"6 plays , 29 yards Time of Possession: 03:05"
Maritime (N.Y.) at 09:59
1st and 10 at MARITIME44,Maritime (N.Y.) drive start at 09:59.
1st and 10 at MARITIME44,"R. Wheeler pass complete to C. Judge for 6 yards to the 50 yardline (Kordell Scott), PENALTY MARITIME holding (M. Laurenti) 10 yards to the MARITIME34, NO PLAY."
1st and 20 at MARITIME34,R. Wheeler sacked for no gain to the MARITIME34 (Tyzohn Poole).
2nd and 20 at MARITIME34,R. Wheeler rush for 8 yards to the MARITIME42 (Desmond Dias).
3rd and 12 at MARITIME42,R. Wheeler pass complete to A. Geni for 11 yards to the DEAN47 (Kordell Scott).
4th and 1 at DEAN47,"C. Schiavone rush for 6 yards to the DEAN41 (Wadell Alceus), PENALTY MARITIME illegal use of the hands (L. McManus) 15 yards to the MARITIME38, NO PLAY."
4th and 16 at MARITIME38,"B. Andrews punt 24 yards to the DEAN38, fair catch by Errol Breaux."
Total,"5 plays , -6 yards Time of Possession: 02:49"
Dean at 07:10
1st and 10 at DEAN38,Dean drive start at 07:10.
1st and 10 at DEAN38,Ki'sean Bullard rush for no gain to the DEAN38 (S. Escaldi).
2nd and 10 at DEAN38,Terrell Watts pass incomplete to Julian Burris.
3rd and 10 at DEAN38,Terrell Watts pass complete to Errol Breaux for 5 yards to the DEAN43 (J. Varga).
4th and 5 at DEAN43,"Quintus Reid punt 34 yards to the MARITIME23, fair catch by A. Geni."
Total,"3 plays , 5 yards Time of Possession: 01:39"
Maritime (N.Y.) at 05:31
1st and 10 at MARITIME23,Maritime (N.Y.) drive start at 05:31.
1st and 10 at MARITIME23,R. Wheeler pass complete to C. Judge for 12 yards to the MARITIME35 (Jaden Quinones).
1st and 10 at MARITIME35,R. Wheeler rush for loss of 1 yard to the MARITIME34 (Desmond Dias).
2nd and 11 at MARITIME34,R. Wheeler pass incomplete to C. Judge (Jaden Quinones).
3rd and 11 at MARITIME34,R. Wheeler rush for 3 yards to the MARITIME37 (Ahmeir Funderbu).
4th and 8 at MARITIME37,"J. Gagliardi punt 34 yards to the DEAN29, downed."
Total,"4 plays , 14 yards Time of Possession: 02:12"
Dean at 03:19
1st and 10 at DEAN29,Dean drive start at 03:19.
1st and 10 at DEAN29,"Quintus Reid rush for 21 yards to the 50 yardline (W. Betencourt), PENALTY DEAN holding (Michael Bethune) 9 yards to the DEAN20, NO PLAY."
1st and 19 at DEAN20,Terrell Watts pass incomplete to Julian Burris.
2nd and 19 at DEAN20,Terrell Watts pass complete to Errol Breaux for 5 yards to the DEAN25 (L. Bailey).
3rd and 14 at DEAN25,Terrell Watts rush for 9 yards to the DEAN34 (J. Varga).
4th and 5 at DEAN34,"Quintus Reid punt 50 yards to the MARITIME16, downed."
Total,"4 plays , 5 yards Time of Possession: 02:08"
Maritime (N.Y.) at 01:11
1st and 10 at MARITIME16,Maritime (N.Y.) drive start at 01:11.
1st and 10 at MARITIME16,"C. Schiavone rush for 2 yards to the MARITIME18 (Shamis Henry), PENALTY DEAN offside (Kordell Scott) 6 yards to the MARITIME22, NO PLAY."
