MARITIME ball on MARITIME35.
"J. Gagliardi kickoff 40 yards to the CUFB25, out-of-bounds, PENALTY MARITIME IK (98) 5 yards to the MARITIME30, NO PLAY."
"J. Gagliardi kickoff 43 yards to the CUFB27, Lucas Morse return 8 yards to the CUFB35 (P. Tchinnis)."
Castleton at 15:00
1st and 10 at CUFB35,"Simon Davis Jr. rush for 13 yards to the CUFB48, 1ST DOWN CUFB (T. Trapani;J. Snuffer)."
1st and 10 at CUFB48,Jacob McCarthy pass incomplete to Simon Davis Jr..
2nd and 10 at CUFB48,Simon Davis Jr. rush for 6 yards to the MARITIME46 (J. Snuffer).
3rd and 4 at MARITIME46,"Jacob McCarthy pass complete to Jared Brockway for 4 yards to the MARITIME42, 1ST DOWN CUFB (J. Snuffer)."
1st and 10 at MARITIME42,Simon Davis Jr. rush for no gain to the MARITIME42 (J. Lupardo;W. Betencourt).
2nd and 10 at MARITIME42,"Jacob McCarthy pass complete to A. Martinez for 10 yards to the MARITIME32, 1ST DOWN CUFB."
1st and 10 at MARITIME32,"Jacob McCarthy pass incomplete to Dylan Ellis (D. Stephens), PENALTY MARITIME pass interference (D. Stephens) 7 yards to the MARITIME25, 1ST DOWN CUFB, NO PLAY."
1st and 10 at MARITIME25,"Jacob McCarthy pass complete to Jared Brockway for 5 yards to the MARITIME20, out-of-bounds (J. Snuffer)."
2nd and 5 at MARITIME20,Jacob McCarthy pass incomplete to A. Martinez (D. Stephens).
3rd and 5 at MARITIME20,Jacob McCarthy pass incomplete to A. Martinez.
4th and 5 at MARITIME20,Jacob McCarthy pass incomplete to A. Martinez (J. Snuffer).
Total,"10 plays , 45 yards Time of Possession: 3:06"
Maritime (N.Y.) at 11:54
1st and 10 at MARITIME20,MARITIME (N.Y.) drive start at 11:54.
1st and 10 at MARITIME20,A. Geni rush for 3 yards to the MARITIME23 (Spencer Kozlak).
2nd and 7 at MARITIME23,"R. Wheeler pass complete to C. Judge for 8 yards to the MARITIME31, 1ST DOWN MARITIME, out-of-bounds (E. Palazzetti)."
1st and 10 at MARITIME31,H. Williamson rush for 1 yard to the MARITIME32 (Seth Gewanter;J. Gilsinger).
