"ANNAMAR ball on ANNAMAR35, clock 15:00."
"Uthman Ajia kickoff 43 yards to the MARITIME22, B. Andrews return 8 yards to the MARITIME30 (Swavaughn Small)."
Maritime (N.Y.) at 14:55
1st and 10 at MARITIME30,MARITIME (N.Y.) drive start at 14:55.
1st and 10 at MARITIME30,H. Williamson rush for 4 yards to the MARITIME34 (Carl St. Paul).
2nd and 6 at MARITIME34,"R. Wheeler pass complete to A. Geni for 8 yards to the MARITIME42, 1ST DOWN MARITIME (Lamar Wilkes)."
1st and 10 at MARITIME42,R. Wheeler pass complete to C. Judge for 1 yard to the MARITIME43 (Tyshawn Anderso).
2nd and 9 at MARITIME43,R. Wheeler pass incomplete to C. Judge (Swavaughn Small).
3rd and 9 at MARITIME43,R. Wheeler sacked for loss of 9 yards to the MARITIME34 (Dylan Diorio;James Johnson).
4th and 18 at MARITIME34,"J. Gagliardi punt 34 yards to the ANNAMAR32, out-of-bounds."
Total,"5 plays , 4 yards Time of Possession: 2:28"
Anna Maria at 12:27
1st and 10 at ANNAMAR32,ANNA MARIA drive start at 12:27.
1st and 10 at ANNAMAR32,Emmanuel Leake pass complete to Vincent Marrone for loss of 2 yards to the ANNAMAR30 (W. Betencourt).
2nd and 12 at ANNAMAR30,Marquis Roderiq rush for 8 yards to the ANNAMAR38 (J. Corsfield).
3rd and 4 at ANNAMAR38,Marquis Roderiq rush for no gain to the ANNAMAR38 (L. Bailey).
4th and 4 at ANNAMAR38,"Hayden Braga punt 44 yards to the MARITIME18, downed."
Total,"3 plays , 6 yards Time of Possession: 1:38"
Maritime (N.Y.) at 10:49
1st and 10 at MARITIME18,MARITIME (N.Y.) drive start at 10:49.
1st and 10 at MARITIME18,H. Williamson rush for 2 yards to the MARITIME20 (Ty'Rique Bruce).
2nd and 8 at MARITIME20,R. Wheeler pass complete to A. Geni for 2 yards to the MARITIME22 (Lamar Wilkes).
3rd and 6 at MARITIME22,R. Wheeler sacked for no gain to the MARITIME22 (Tyshawn Anderso).
4th and 6 at MARITIME22,"J. Gagliardi punt 68 yards to the ANNAMAR10, downed, PENALTY MARITIME personal foul 11 yards to the MARITIME11, NO PLAY."
4th and 17 at MARITIME11,"J. Gagliardi punt 44 yards to the ANNAMAR45, Hayden Braga return 15 yards to the MARITIME40 (J. Behr)."
Total,"3 plays , -7 yards Time of Possession: 2:09"
Anna Maria at 08:40
1st and 10 at MARITIME40,ANNA MARIA drive start at 08:40.
1st and 10 at MARITIME40,"Emmanuel Leake pass complete to Hayden Braga for 10 yards to the MARITIME30, 1ST DOWN ANNAMAR."
1st and 10 at MARITIME30,Emmanuel Leake rush for no gain to the MARITIME30 (J. Corsfield).
2nd and 10 at MARITIME30,Marquis Roderiq rush for 2 yards to the MARITIME28 (W. Betencourt).
3rd and 8 at MARITIME28,Emmanuel Leake pass incomplete to David Robinson (T. Trapani).
4th and 8 at MARITIME28,Emmanuel Leake pass complete to Marquis Roderiq for loss of 1 yard to the MARITIME29 (T. Trapani).
Total,"5 plays , 11 yards Time of Possession: 2:19"
Maritime (N.Y.) at 06:21
1st and 10 at MARITIME29,MARITIME (N.Y.) drive start at 06:21.
1st and 10 at MARITIME29,C. Schiavone rush for 4 yards to the MARITIME33 (Tyshawn Anderso;Darrin Cooper).
2nd and 6 at MARITIME33,R. Wheeler rush for 1 yard to the MARITIME34 (Dylan Diorio;Ty'Rique Bruce).
3rd and 5 at MARITIME34,R. Wheeler pass incomplete to K. Murphy.
4th and 5 at MARITIME34,"J. Gagliardi punt 42 yards to the ANNAMAR24, Hayden Braga return 12 yards to the ANNAMAR36 (S. Hart)."
Total,"3 plays , 5 yards Time of Possession: 1:34"
Anna Maria at 04:47
1st and 10 at ANNAMAR36,ANNA MARIA drive start at 04:47.
1st and 10 at ANNAMAR36,"Emmanuel Leake pass complete to Marcelino Da Ve for 13 yards to the ANNAMAR49, 1ST DOWN ANNAMAR (F. Vano)."
1st and 10 at ANNAMAR49,Marquis Roderiq rush for 4 yards to the MARITIME47 (J. Lupardo).
2nd and 6 at MARITIME47,Emmanuel Leake pass complete to Marcelino Da Ve for 5 yards to the MARITIME42 (J. Snuffer).
3rd and 1 at MARITIME42,"Emmanuel Leake rush for 10 yards to the MARITIME32, 1ST DOWN ANNAMAR (D. Stephens), out-of-bounds."
1st and 10 at MARITIME32,"Emmanuel Leake rush for 10 yards to the MARITIME22, 1ST DOWN ANNAMAR (L. Bailey), out-of-bounds."
1st and 10 at MARITIME22,"Marquis Roderiq rush for loss of 4 yards to the MARITIME26, fumble by Marquis Roderiq recovered by ANNAMAR Marquis Roderiq at MARITIME26."
2nd and 14 at MARITIME26,Emmanuel Leake pass incomplete to Hayden Braga.
3rd and 14 at MARITIME26,Emmanuel Leake pass complete to Marquis Roderiq for loss of 4 yards to the MARITIME30 (J. Behr).
4th and 18 at MARITIME30,Emmanuel Leake pass incomplete to Marcelino Da Ve (L. Bailey).
Total,"9 plays , 34 yards Time of Possession: 4:13"
Maritime (N.Y.) at 00:34
1st and 10 at MARITIME30,MARITIME (N.Y.) drive start at 00:34.
1st and 10 at MARITIME30,H. Williamson rush for 3 yards to the MARITIME33 (Dylan Diorio;James Johnson).
2nd and 7 at MARITIME33,PENALTY ANNAMAR offside (Sebastian Josep) 5 yards to the MARITIME38.
""
2nd and 2 at MARITIME38,"Start of 2nd quarter, clock 15:00."
2nd and 2 at MARITIME38,"H. Williamson rush for 2 yards to the MARITIME40, 1ST DOWN MARITIME (Tyshawn Anderso;Colby Wilkins)."
1st and 10 at MARITIME40,H. Williamson rush for 4 yards to the MARITIME44 (Jarred Grant-Sp).
2nd and 6 at MARITIME44,H. Williamson rush for no gain to the MARITIME44 (James Johnson).
3rd and 6 at MARITIME44,"R. Wheeler rush for 11 yards to the ANNAMAR45, 1ST DOWN MARITIME (Ty'Rique Bruce), out-of-bounds."
1st and 10 at ANNAMAR45,A. Geni rush for 7 yards to the ANNAMAR38 (Ty'Rique Bruce).
2nd and 3 at ANNAMAR38,"R. Wheeler rush for 10 yards to the ANNAMAR28, 1ST DOWN MARITIME (Dylan Diorio)."
1st and 10 at ANNAMAR28,H. Williamson rush for 8 yards to the ANNAMAR20 (Dylan Diorio).
2nd and 2 at ANNAMAR20,"R. Wheeler pass complete to A. Geni for 20 yards to the ANNAMAR0, 1ST DOWN MARITIME, TOUCHDOWN, clock 10:23."
1st and GOAL at ANNAMAR03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 52 yards to the ANNAMAR13, Vincent Marrone return 12 yards to the ANNAMAR25 (J. Snuffer)."
Total,"9 plays , 70 yards Time of Possession: 5:11"
Anna Maria at 10:15
1st and 10 at ANNAMAR25,ANNA MARIA drive start at 10:15.
1st and 10 at ANNAMAR25,"Emmanuel Leake pass complete to Hayden Braga for 5 yards to the ANNAMAR30 (D. Stephens), out-of-bounds."
