"Jack Gray kickoff 22 yards to the MARITIME43, fair catch by B. Andrews."
Maritime (N.Y.) at 15:00
1st and 10 at MARITIME43,MARITIME ball on MARITIME43.
1st and 10 at MARITIME43,"J. Lynn pass complete to C. Judge for 8 yards to the GAL49, out-of-bounds (Laron Thomas)."
2nd and 2 at GAL49,J. Lynn pass incomplete to A. Geni (Jack Gray).
3rd and 2 at GAL49,"H. Williamson rush for 2 yards to the GAL47, 1ST DOWN MARITIME (S. Anderson;Everett Polzin)."
1st and 10 at GAL47,H. Williamson rush for 8 yards to the GAL39 (Mason Gooch).
2nd and 2 at GAL39,J. Lynn pass incomplete to C. Judge.
3rd and 2 at GAL39,"H. Williamson rush for 4 yards to the GAL35, 1ST DOWN MARITIME (Mason Gooch)."
1st and 10 at GAL35,H. Williamson rush for 2 yards to the GAL33 (Mason Gooch).
2nd and 8 at GAL33,A. Geni rush for 4 yards to the GAL29 (Kenneth Peters).
3rd and 4 at GAL29,"J. Lynn pass complete to C. Judge for 14 yards to the GAL15, 1ST DOWN MARITIME (Dalton Taylor)."
1st and 10 at GAL15,H. Williamson rush for 5 yards to the GAL10 (Jamal Garner;Malik Amann).
2nd and 5 at GAL10,H. Williamson rush for loss of 1 yard to the GAL11 (Mason Gooch;Malik Amann).
3rd and 6 at GAL11,J. Lynn pass incomplete to B. Andrews.
4th and 6 at GAL11,"J. Gagliardi field goal attempt from 28 GOOD, clock 09:09."
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 55 yards to the GAL10, Damonte Bray return 23 yards to the GAL33 (P. Tchinnis)."
Total,"13 plays , 46 yards Time of Possession: 5:51"
Gallaudet at 09:02
1st and 10 at GAL33,GALLAUDET drive start at 09:02.
1st and 10 at GAL33,"C. Hutchinson rush for 10 yards to the GAL43, 1ST DOWN GAL (J. Snuffer)."
1st and 10 at GAL43,"Timel Benton rush for 7 yards to the 50 yardline, out-of-bounds."
2nd and 3 at GAL50,"A. Sliva-Wynne rush for 11 yards to the MARITIME39, 1ST DOWN GAL, out-of-bounds (J. Snuffer)."
1st and 10 at MARITIME39,RJ Randle rush for 5 yards to the MARITIME34 (L. Bailey).
2nd and 5 at MARITIME34,"Timel Benton pass complete to Damonte Bray for 7 yards to the MARITIME27, 1ST DOWN GAL, out-of-bounds (J. Snuffer)."
1st and 10 at MARITIME27,"C. Hutchinson rush for loss of 2 yards to the MARITIME29, out-of-bounds (D. Stephens)."
2nd and 12 at MARITIME29,"Timel Benton pass incomplete to Damonte Bray, QB hurry by L. Bailey."
3rd and 12 at MARITIME29,A. Sliva-Wynne rush for 9 yards to the MARITIME20 (J. Snuffer).
4th and 3 at MARITIME20,"A. Sliva-Wynne rush for 2 yards to the MARITIME18, out-of-bounds (J. Snuffer)."
Total,"9 plays , 49 yards Time of Possession: 4:17"
Maritime (N.Y.) at 04:45
1st and 10 at MARITIME18,MARITIME (N.Y.) drive start at 04:45.
1st and 10 at MARITIME18,C. Schiavone rush for 3 yards to the MARITIME21 (S. Anderson).
2nd and 7 at MARITIME21,"J. Lynn pass complete to C. Judge for 24 yards to the MARITIME45, 1ST DOWN MARITIME, out-of-bounds (Logan Taylor)."
1st and 10 at MARITIME45,"C. Schiavone rush for 12 yards to the GAL43, 1ST DOWN MARITIME (Dalton Taylor;N. Maccini)."
1st and 10 at GAL43,"J. Lynn pass complete to K. Murphy for 11 yards to the GAL32, 1ST DOWN MARITIME (M. Wallace Jr.)."
1st and 10 at GAL32,"C. Schiavone rush for 10 yards to the GAL22, 1ST DOWN MARITIME (Kenneth Peters)."
1st and 10 at GAL22,C. Schiavone rush for 2 yards to the GAL20 (Dalton Taylor).
2nd and 8 at GAL20,"C. Schiavone rush for 12 yards to the GAL8, 1ST DOWN MARITIME (Malik Amann;N. Maccini)."
1st and GOAL at GAL08,J. Lynn pass incomplete to C. Judge.
2nd and GOAL at GAL08,C. Schiavone rush for 2 yards to the GAL6 (S. Anderson).
3rd and GOAL at GAL06,"C. Schiavone rush for 4 yards to the GAL2, fumble forced by Malik Amann, fumble by C. Schiavone recovered by MARITIME M. Korwan at GAL0, TOUCHDOWN, clock 00:10."
1st and GOAL at GAL03,J. Gagliardi kick attempt good.
1st and GOAL at MARITIME35,"J. Gagliardi kickoff 57 yards to the GAL8, C. Hutchinson return 50 yards to the MARITIME42, out-of-bounds (T. Trapani)."
Total,"10 plays , 82 yards Time of Possession: 4:35"
Gallaudet at 00:00
1st and 10 at MARITIME42,GALLAUDET drive start at 00:00.
""
1st and 10 at MARITIME42,"Start of 2nd quarter, clock 15:00."
