Maritime wins toss - defers
"J. Gagliardi kickoff 33 yards to the ASTATE32, Thomas, Andrew return 8 yards to the ASTATE40 (J. Goodwin)."
ASTATE at 15:00
1st and 10 at ASTATE40,ASTATE drive start at 15:00.
1st and 10 at ASTATE40,"Wilson, Dashown rush for 9 yards to the ASTATE49 (J. Lupardo)."
2nd and 1 at ASTATE49,"Wilson, Dashown rush for 14 yards to the MARITIME37, out-of-bounds (F. Vano)."
1st and 10 at MARITIME37,"Wilson, Dashown rush for loss of 1 yard to the MARITIME38 (L. Bailey)."
2nd and 11 at MARITIME38,"Wilson, Dashown pass intercepted by F. Vano at the MARITIME20, F. Vano return 24 yards to the MARITIME44 (Clendenin, Zac; Broadwater, S.)."
Total,"4 plays , 22 yards Time of Possession: 02:17"
MARITIME at 12:43
1st and 10 at MARITIME44,MARITIME drive start at 12:43.
1st and 10 at MARITIME44,"J. Lynn pass complete to K. Murphy for 31 yards to the ASTATE25 (Van Fleet, R.)."
1st and 10 at ASTATE25,"H. Williamson rush for 6 yards to the ASTATE19 (Nixon, Jeremiah)."
2nd and 4 at ASTATE19,"J. Lynn pass incomplete to K. Murphy (Van Fleet, R.)."
3rd and 4 at ASTATE19,J. Lynn pass incomplete to A. Geni.
4th and 4 at ASTATE19,"J. Lynn rush for 6 yards to the ASTATE13 (Morakis, Ben)."
1st and 10 at ASTATE13,"J. Lynn pass incomplete to A. Geni (Pierre-Paul, A.)."
2nd and 10 at ASTATE13,"J. Lynn pass complete to C. Judge for loss of 2 yards to the ASTATE15 (Van Fleet, R.)."
3rd and 12 at ASTATE15,"J. Lynn pass complete to C. Judge for 5 yards to the ASTATE10 (Pierre-Paul, A.)."
4th and 7 at ASTATE10,"J. Gagliardi field goal attempt from 27 GOOD, clock 09:04."
1st and 10 at MARITIME35,"J. Gagliardi kickoff 39 yards to the ASTATE26, Fisher, Gordon return 8 yards to the ASTATE34 (A. Wierzbicki)."
Total,"9 plays , 46 yards Time of Possession: 03:39"
ASTATE at 08:58
1st and 10 at ASTATE34,ASTATE drive start at 08:58.
1st and 10 at ASTATE34,"Wilson, Dashown rush for loss of 4 yards to the ASTATE30 (L. Bailey)."
2nd and 14 at ASTATE30,"Wilson, Dashown pass incomplete to Broadwater, S. (J. Snuffer)."
3rd and 14 at ASTATE30,"Wilson, Dashown sacked for loss of 12 yards to the ASTATE18 (W. Betencourt)."
4th and 26 at ASTATE18,"Zimmerman, M. punt 46 yards to the MARITIME36, out-of-bounds."
Total,"3 plays , -16 yards Time of Possession: 01:19"
MARITIME at 07:39
1st and 10 at MARITIME36,MARITIME drive start at 07:39.
1st and 10 at MARITIME36,"H. Williamson rush for 2 yards to the MARITIME38 (Nixon, Jeremiah; Zimmerman, M.)."
2nd and 8 at MARITIME38,"J. Lynn pass complete to V. Vollaro for 3 yards to the MARITIME41 (Zimmerman, M.)."
3rd and 5 at MARITIME41,"Timeout MARITIME, clock 06:12."
3rd and 5 at MARITIME41,"J. Lynn pass complete to V. Vollaro for 12 yards to the ASTATE47 (Zimmerman, M.)."
1st and 10 at ASTATE47,"H. Williamson rush for no gain to the ASTATE47 (Guzman, Jamel; McLeod, Kahmani)."
2nd and 10 at ASTATE47,"J. Lynn rush for 5 yards to the ASTATE42 (Pierre-Paul, A.; Nixon, Jeremiah)."
3rd and 5 at ASTATE42,"J. Lynn pass incomplete to A. Geni, dropped pass."
4th and 5 at ASTATE42,"J. Gagliardi punt 7 yards to the ASTATE35, out-of-bounds."
Total,"6 plays , 22 yards Time of Possession: 03:37"
ASTATE at 04:02
1st and 10 at ASTATE35,ASTATE drive start at 04:02.
1st and 10 at ASTATE35,"Clark, Ronnie rush for 10 yards to the ASTATE45 (J. Corsfield)."
1st and 10 at ASTATE45,"Timeout ASTATE, clock 03:22."
1st and 10 at ASTATE45,"Clark, Ronnie rush for 3 yards to the ASTATE48 (W. Betencourt; S. Escaldi)."
2nd and 7 at ASTATE48,"Carroll, David rush for 1 yard to the ASTATE49 (J. Snuffer; J. Varga)."
3rd and 6 at ASTATE49,"Wilson, Dashown rush for 11 yards to the MARITIME40, out-of-bounds (W. Betencourt)."
1st and 10 at MARITIME40,"Wilson, Dashown rush for 1 yard to the MARITIME39 (J. Jimenez)."
2nd and 9 at MARITIME39,"Wilson, Dashown sacked for loss of 8 yards to the MARITIME47 (F. Vano)."
3rd and 17 at MARITIME47,"Wilson, Dashown rush for no gain to the MARITIME47 (J. Corsfield)."
""
4th and 17 at MARITIME47,"Start of 2nd quarter, clock 15:00."
4th and 17 at MARITIME47,"Zimmerman, M. punt 27 yards to the MARITIME20, downed."
Total,"7 plays , 18 yards Time of Possession: 04:11"
MARITIME at 14:51
1st and 10 at MARITIME20,MARITIME drive start at 14:51.
1st and 10 at MARITIME20,"J. Lynn pass incomplete to C. Schiavone, dropped pass."
2nd and 10 at MARITIME20,J. Lynn pass incomplete to A. Geni.
3rd and 10 at MARITIME20,"J. Lynn rush for 11 yards to the MARITIME31 (Pierre-Paul, A.)."
1st and 10 at MARITIME31,"C. Schiavone rush for 2 yards to the MARITIME33 (Augustin, R.)."
2nd and 8 at MARITIME33,"J. Lynn pass complete to A. Geni for 9 yards to the MARITIME42 (Marun, Julian)."
1st and 10 at MARITIME42,"J. Lynn pass complete to K. Murphy for loss of 2 yards to the MARITIME40 (Van Fleet, R.)."
2nd and 12 at MARITIME40,"J. Lynn pass complete to K. Murphy for 32 yards to the ASTATE28 (Van Fleet, R.)."
1st and 10 at ASTATE28,J. Lynn pass incomplete to K. Murphy.
2nd and 10 at ASTATE28,"C. Schiavone rush for 19 yards to the ASTATE09 (Marun, Julian)."
1st and GOAL at ASTATE09,"C. Schiavone rush for 1 yard to the ASTATE08 (Campbell, T.; Augustin, R.)."
2nd and GOAL at ASTATE08,"J. Lynn pass incomplete to K. Murphy (Van Fleet, R.)."
3rd and GOAL at ASTATE08,J. Lynn pass incomplete to A. Geni.
4th and GOAL at ASTATE08,"J. Gagliardi field goal attempt from 25 MISSED - wide left, spot at ASTATE20, clock 10:08."
Total,"13 plays , 72 yards Time of Possession: 04:43"
ASTATE at 10:08
1st and 10 at ASTATE20,ASTATE drive start at 10:08.
1st and 10 at ASTATE20,"Clark, Ronnie rush for 20 yards to the ASTATE40 (J. Snuffer; D. Stephens)."
1st and 10 at ASTATE40,"Clark, Ronnie rush for 2 yards to the ASTATE42 (J. Corsfield)."
2nd and 8 at ASTATE42,"Palmer, Jake rush for 1 yard to the ASTATE43 (S. Escaldi; J. Lupardo)."
3rd and 7 at ASTATE43,"Wilson, Dashown pass incomplete to Thomas, Andrew."
4th and 7 at ASTATE43,QB hurry by F. Vano.
