PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
1,X,No Info,No Info,No info,---,---,---
2,D,No Info,No Info,No info,---,---,---
3,K,1,10,-35,KO,No Info,Return
4,K,No Info,No Info,No info,No Info,No Info,No Info
5,O,No Info,No Info,No info,---,---,---
6,O,1,10,-22,No Info,No Info,No Info
7,O,1,10,-22,No Info,No Info,Penalty
8,O,1,15,-17,Pass,0,Incomplete
9,O,2,15,-17,Run,2,Rush
10,O,3,13,-19,Pass,8,Complete
11,K,4,5,-27,PUNT,No Info,Return
12,K,No Info,No Info,No info,No Info,No Info,No Info
13,D,No Info,No Info,No info,---,---,---
14,D,1,10,-25,No Info,No Info,No Info
15,D,1,10,-25,Run,1,Rush
16,D,2,9,-26,Run,14,Rush
17,D,1,10,-40,Run,7,Rush
18,D,2,3,-47,Run,5,Rush
19,D,1,10,48,Run,0,Rush
20,D,2,10,48,Run,0,Rush
21,D,3,10,48,Pass,12,Complete
22,D,1,10,36,Run,8,Rush
23,D,2,2,28,Run,0,Rush
24,D,3,2,28,Run,4,Rush
25,D,1,10,24,Run,3,Rush
26,D,2,7,21,Run,3,Rush
27,D,3,4,18,No Info,-3,Sack
28,K,4,7,21,FG,No Info,No Info
29,K,No Info,No Info,No info,No Info,No Info,No Info
30,O,No Info,No Info,No info,---,---,---
31,O,1,10,-21,No Info,No Info,No Info
32,O,1,10,-21,Pass,1,Complete
33,O,2,9,-22,Pass,0,Incomplete
34,O,3,9,-22,Pass,42,Complete
35,O,1,10,36,No Info,No Info,Penalty
36,O,1,15,41,Run,5,Rush
37,O,2,10,36,Run,3,Rush
38,O,3,7,33,Pass,0,Incomplete
39,O,4,7,33,No Info,No Info,Penalty
40,K,4,12,38,PUNT,No Info,No Info
41,K,No Info,No Info,No info,No Info,No Info,No Info
42,D,No Info,No Info,No info,---,---,---
43,D,1,10,-17,No Info,No Info,No Info
44,D,1,10,-17,Run,7,Rush
45,D,2,3,-24,Run,7,Rush
46,D,1,10,-31,Run,14,Rush
47,D,1,10,-45,Run,0,Rush
48,D,1,25,-30,Pass,7,Complete
49,D,2,18,-37,Run,7,Rush
50,D,3,11,-44,Pass,10,Complete
51,D,4,1,46,Run,1,Rush
52,D,1,10,45,Run,9,Rush
53,D,2,1,36,Pass,30,Complete
54,D,1,06,06,Run,4,Rush
55,D,No Info,No Info,No info,---,---,---
56,D,2,02,02,No Info,No Info,No Info
57,D,2,02,02,Run,1,Rush
58,D,3,01,01,Run,1,"Rush, TD"
59,K,1,03,03,Extra Pt.,No Info,Good
60,K,1,35,FUCK,KO,No Info,Return
61,K,No Info,No Info,No info,No Info,No Info,No Info
62,O,No Info,No Info,No info,---,---,---
63,O,1,10,-21,No Info,No Info,No Info
64,O,1,10,-21,Pass,7,Complete
65,O,2,3,-28,Pass,-2,Complete
66,O,3,5,-26,Pass,0,Incomplete
67,K,4,5,-26,PUNT,No Info,Return
68,K,No Info,No Info,No info,No Info,No Info,No Info
69,D,No Info,No Info,No info,---,---,---
70,D,1,10,-46,No Info,No Info,No Info
71,D,1,10,-46,Run,7,Rush
72,D,2,3,47,Run,5,Rush
73,D,1,10,42,Run,11,Rush
74,D,1,10,31,Run,2,Rush
75,D,2,8,29,Run,7,Rush
76,D,3,1,22,Run,3,Rush
77,D,1,10,19,Run,3,Rush
78,D,2,7,16,Run,3,Rush
79,D,3,4,13,Run,3,Rush
80,D,4,1,10,Run,1,Rush
81,D,1,09,09,Run,6,Rush
82,D,2,03,03,Run,3,"Rush, TD"
83,K,1,03,03,Extra Pt.,No Info,Good
84,K,1,35,FUCK,KO,No Info,Return
85,K,No Info,No Info,No info,No Info,No Info,No Info
86,O,No Info,No Info,No info,---,---,---
87,O,1,10,-25,No Info,No Info,No Info
88,O,1,10,-25,Pass,-3,Complete
89,O,2,13,-22,Pass,0,Incomplete
90,O,3,13,-22,Pass,34,Complete
91,O,1,10,44,Pass,0,Incomplete
92,O,2,10,44,No Info,No Info,Penalty
93,O,2,15,49,Run,-3,Rush
94,O,3,18,-48,Pass,0,Incomplete
95,K,4,18,-48,PUNT,No Info,Block
96,K,No Info,No Info,No info,No Info,No Info,No Info
97,D,No Info,No Info,No info,---,---,---
98,D,1,10,-07,No Info,No Info,No Info
99,D,1,10,-07,Run,21,Rush
100,D,1,10,-28,Pass,14,Complete
101,D,1,10,-42,No Info,No Info,Timeout
102,D,1,10,-42,Run,3,Rush
103,D,2,7,-45,No Info,-3,Sack
104,D,3,10,-42,Run,0,Rush
105,K,4,10,-42,PUNT,No Info,Downed
106,K,No Info,No Info,No info,No Info,No Info,No Info
107,O,No Info,No Info,No info,---,---,---
108,O,1,10,-09,No Info,No Info,No Info
109,O,No Info,No Info,No info,No Info,No Info,No Info
110,O,No Info,No Info,No info,---,---,---
111,O,1,10,-09,No Info,No Info,No Info
112,O,1,10,-09,Run,0,Rush
113,O,2,10,-09,Pass,0,Incomplete
114,O,3,10,-09,Run,4,Fumble
115,O,No Info,No Info,No info,No Info,No Info,No Info
116,D,No Info,No Info,No info,---,---,---
117,D,1,10,13,No Info,No Info,No Info
118,D,1,10,13,Run,3,Rush
119,D,2,7,10,Run,3,Rush
120,D,3,4,07,Pass,0,Incomplete
121,K,4,4,07,FG,No Info,Good
122,K,1,35,FUCK,KO,No Info,Return
123,K,No Info,No Info,No info,No Info,No Info,No Info
