PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
1,K,No Info,No Info,-35,KO,No Info,Need to make things methods
2,O,No Info,No Info,No info,---,---,---
3,O,1,10,-34,Run,2,Rush
4,O,2,8,-36,No Info,-2,Sack
5,O,3,10,-34,Pass,0,Incomplete
6,K,4,10,-34,PUNT,No Info,Downed
7,K,No Info,No Info,No info,No Info,No Info,No Info
8,D,No Info,No Info,No info,---,---,---
9,D,1,10,-20,No Info,No Info,No Info
10,D,1,10,-20,Run,3,Rush
11,D,2,7,-23,Run,3,Rush
12,D,3,4,-26,Pass,0,Incomplete
13,K,4,4,-26,PUNT,No Info,Fair Catch
14,K,No Info,No Info,No info,No Info,No Info,No Info
15,O,No Info,No Info,No info,---,---,---
16,O,1,10,-39,No Info,No Info,No Info
17,O,1,10,-39,Run,1,Rush
18,O,2,9,-40,Pass,0,Incomplete
19,O,3,9,-40,Run,4,Rush
20,K,4,5,-44,PUNT,No Info,Downed
21,K,No Info,No Info,No info,No Info,No Info,No Info
22,D,No Info,No Info,No info,---,---,---
23,D,1,10,-33,No Info,No Info,No Info
24,D,1,10,-33,Run,14,Rush
25,D,1,10,-47,Pass,28,Complete
26,D,1,10,25,Run,2,Rush
27,D,2,8,23,Pass,0,Incomplete
28,D,3,8,23,Pass,12,Complete
29,D,1,10,11,Run,5,Rush
30,D,2,5,06,Run,6,"Rush, TD"
31,K,1,03,03,Extra Pt.,No Info,Good
32,K,1,35,FUCK,KO,No Info,Return
33,K,No Info,No Info,No info,No Info,No Info,No Info
34,O,No Info,No Info,No info,---,---,---
35,O,1,10,-27,No Info,No Info,No Info
36,O,1,10,-27,Run,0,Rush
37,O,2,10,-27,Pass,0,Incomplete
38,O,3,10,-27,Pass,No Info,Return
39,O,No Info,No Info,No info,No Info,No Info,No Info
40,D,No Info,No Info,No info,---,---,---
41,D,1,10,33,No Info,No Info,No Info
42,D,1,10,33,Pass,0,Incomplete
43,D,2,10,33,Run,-1,Rush
44,D,3,11,34,Run,10,Rush
45,D,4,1,24,Run,0,Rush
46,D,No Info,No Info,No info,No Info,No Info,No Info
47,O,No Info,No Info,No info,---,---,---
48,O,1,10,-24,No Info,No Info,No Info
49,O,1,10,-24,Run,15,Rush
50,O,1,10,-39,Run,4,Rush
51,O,2,6,-43,Run,2,Rush
52,O,3,4,-45,Run,-5,Fumble
53,O,4,9,-40,Run,12,Fumble
54,O,No Info,No Info,No info,No Info,No Info,No Info
55,D,No Info,No Info,No info,---,---,---
56,D,1,03,03,No Info,No Info,No Info
57,D,1,03,03,Run,1,Rush
58,D,2,02,02,Run,2,"Rush, TD"
59,K,1,03,03,Extra Pt.,No Info,No Info
60,K,1,35,FUCK,KO,No Info,Return
61,K,No Info,No Info,No info,No Info,No Info,No Info
62,O,No Info,No Info,No info,---,---,---
63,O,1,10,-31,No Info,No Info,No Info
64,O,1,10,-31,Pass,3,Complete
65,O,2,7,-34,Run,-2,Rush
66,O,3,9,-32,No Info,No Info,Penalty
67,O,3,14,-27,Run,3,Rush
68,O,4,11,-30,No Info,No Info,Timeout
69,K,4,11,-30,PUNT,No Info,Return
70,K,No Info,No Info,No info,No Info,No Info,No Info
71,D,No Info,No Info,No info,---,---,---
72,D,No Info,No Info,No info,---,---,---
73,D,1,10,-42,No Info,No Info,No Info
74,D,1,10,-42,Run,5,Rush
75,D,2,5,-47,Run,2,Rush
