PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
1,K,No Info,No Info,-35,KO,No Info,Need to make things methods
2,O,No Info,No Info,No info,---,---,---
3,O,1,10,42,Run,2,Rush
4,O,2,8,44,Run,9,Rush
5,O,1,10,47,Pass,6,Complete
6,O,2,4,41,Run,4,Rush
7,O,1,10,37,Pass,0,Incomplete
8,O,2,10,37,Run,6,Rush
9,O,3,4,31,No Info,No Info,No Info
10,O,3,4,31,Run,4,Rush
11,O,1,10,27,Run,2,Rush
12,O,2,8,25,Run,3,Rush
13,O,3,5,22,No Info,No Info,Timeout
14,O,3,5,22,Run,-4,Rush
15,O,4,9,26,Run,16,Rush
16,O,1,10,10,Run,1,Rush
17,O,2,09,09,Run,7,Rush
18,O,3,02,02,Run,2,"Rush, TD"
19,K,1,03,03,Extra Pt.,No Info,Good
20,K,1,35,HELP,KO,No Info,Return
21,K,No Info,No Info,No info,No Info,No Info,No Info
22,O,No Info,No Info,No info,---,---,---
23,O,1,10,32,No Info,No Info,No Info
24,O,1,10,32,Pass,0,Incomplete
25,O,2,10,32,Run,1,Rush
26,O,3,9,33,Pass,0,Incomplete
27,O,4,9,33,Pass,No Info,Penalty
28,O,1,10,44,Pass,0,Incomplete
29,O,2,10,44,Pass,6,Complete
30,O,3,4,50,Pass,6,Complete
31,O,1,10,44,No Info,No Info,Timeout
32,O,1,10,44,Run,4,Rush
33,O,2,6,40,Pass,0,Incomplete
34,O,3,6,40,Pass,0,Incomplete
35,K,4,6,40,PUNT,No Info,Touchback
36,K,No Info,No Info,No info,No Info,No Info,No Info
37,O,No Info,No Info,No info,---,---,---
38,O,1,10,20,No Info,No Info,No Info
39,O,1,10,20,Run,3,Rush
40,O,2,7,23,Run,1,Rush
41,O,3,6,24,Pass,8,Complete
42,O,1,10,32,Run,9,Rush
43,O,2,1,41,Pass,20,"Complete, Fumble"
44,O,No Info,No Info,No info,No Info,No Info,No Info
45,O,No Info,No Info,No info,---,---,---
46,O,1,10,40,No Info,No Info,No Info
47,O,1,10,40,Run,-1,Rush
48,O,2,11,39,Pass,14,Complete
49,O,No Info,No Info,No info,---,---,---
50,O,1,10,47,No Info,No Info,No Info
51,O,1,10,47,Pass,0,Incomplete
52,O,2,10,47,Run,25,Rush
53,O,2,17,40,Pass,9,Complete
54,O,3,8,31,Pass,0,Incomplete
55,O,4,8,31,Run,11,Rush
56,O,1,10,20,Pass,20,"Complete, TD"
57,K,1,03,03,Extra Pt.,No Info,Good
58,K,1,35,HELP,KO,No Info,Return
59,K,No Info,No Info,No info,No Info,No Info,No Info
60,O,No Info,No Info,No info,---,---,---
61,O,1,10,31,No Info,No Info,No Info
62,O,1,10,31,Run,1,Rush
63,O,2,9,32,No Info,No Info,Penalty
64,O,2,25,16,Run,9,Rush
65,O,2,35,06,Run,0,Rush
66,O,3,35,06,Run,14,Rush
67,K,4,21,20,PUNT,No Info,Downed
68,K,No Info,No Info,No info,No Info,No Info,No Info
69,O,No Info,No Info,No info,---,---,---
70,O,1,10,33,No Info,No Info,No Info
71,O,1,10,33,Pass,33,"Complete, TD"
72,K,1,03,03,Extra Pt.,No Info,Block
73,K,1,35,HELP,KO,No Info,Return
74,K,No Info,No Info,No info,No Info,No Info,No Info
75,O,No Info,No Info,No info,---,---,---
76,O,1,10,28,No Info,No Info,No Info
77,O,1,10,28,Run,2,Rush
78,O,2,8,30,Pass,21,Complete
