MARITIME ball on MARITIME35.
"J. Gagliardi kickoff 27 yards to the MTSTJOSE38, Collin Matt return 3 yards to the MTSTJOSE41 (A. Wierzbicki)."
Mt. St. Joseph at 15:00
1st and 10 at MTSTJOSE41,Chaiten Tomlin pass complete to Eric Meyer for 3 yards to the MTSTJOSE44 (T. Trapani).
2nd and 7 at MTSTJOSE44,Chaiten Tomlin pass complete to Austin Brock for 2 yards to the MTSTJOSE46 (J. Behr).
3rd and 5 at MTSTJOSE46,"Chaiten Tomlin rush for 17 yards to the MARITIME37, 1ST DOWN MTSTJOSE."
1st and 10 at MARITIME37,C. Beachem Jr. rush for no gain to the MARITIME37 (D. Hanley;L. Bailey).
2nd and 10 at MARITIME37,"Chaiten Tomlin pass complete to Paul Minor for 13 yards to the MARITIME24, 1ST DOWN MTSTJOSE, out-of-bounds (J. Snuffer)."
1st and 10 at MARITIME24,Chaiten Tomlin pass incomplete to Nick Murphy.
2nd and 10 at MARITIME24,Chaiten Tomlin pass complete to C. Beachem Jr. for 5 yards to the MARITIME19 (L. Bailey).
3rd and 5 at MARITIME19,"Chaiten Tomlin pass complete to C. Beachem Jr. for 4 yards to the MARITIME15, out-of-bounds (L. Bailey)."
4th and 1 at MARITIME15,C. Beachem Jr. rush for loss of 1 yard to the MARITIME16 (W. Betencourt).
Total,"9 plays , 43 yards Time of Possession: 4:17"
Maritime (N.Y.) at 10:43
1st and 10 at MARITIME16,MARITIME (N.Y.) drive start at 10:43.
1st and 10 at MARITIME16,"J. Lynn pass complete to A. Geni for 28 yards to the MARITIME44, 1ST DOWN MARITIME (Payton Leugers)."
1st and 10 at MARITIME44,J. Lynn pass incomplete to A. Geni.
2nd and 10 at MARITIME44,"J. Lynn pass complete to M. Cebulski for 8 yards to the MTSTJOSE48, out-of-bounds (Nathan Stone)."
3rd and 2 at MTSTJOSE48,"C. Schiavone rush for 4 yards to the MTSTJOSE44, 1ST DOWN MARITIME (Sean Sullivan)."
1st and 10 at MTSTJOSE44,"J. Lynn pass complete to A. Geni for 7 yards to the MTSTJOSE37, out-of-bounds."
2nd and 3 at MTSTJOSE37,J. Lynn pass incomplete to A. Geni (Sean Sullivan).
3rd and 3 at MTSTJOSE37,"C. Schiavone rush for 5 yards to the MTSTJOSE32, 1ST DOWN MARITIME (Adam Slusher;Peyton Williams)."
1st and 10 at MTSTJOSE32,J. Lynn pass incomplete to K. Murphy (Troy Speakman).
2nd and 10 at MTSTJOSE32,J. Lynn pass complete to A. Geni for 7 yards to the MTSTJOSE25 (Peyton Williams).
3rd and 3 at MTSTJOSE25,C. Schiavone rush for 1 yard to the MTSTJOSE24 (JJ Courtney).
4th and 2 at MTSTJOSE24,"C. Schiavone rush for 4 yards to the MTSTJOSE20, 1ST DOWN MARITIME (Spencer Kandra;Adam Slusher)."
1st and 10 at MTSTJOSE20,J. Lynn pass incomplete to A. Geni.
