"MARITIME ball on MARITIME35, clock 15:00."
"Gagliardi, J. kickoff 29 yards to the SAL36, fair catch by Jamere Furbush."
Salisbury at 15:00
1st and 10 at SAL36,Salisbury drive start at 15:00.
1st and 10 at SAL36,"Mike-Ryan Mofor rush for 12 yards to the SAL48 (Snuffer, J.; Varga, J.)."
1st and 10 at SAL48,"Jack Lanham rush for 3 yards to the MARITIME49 (Corsfield, J.; Escaldi, S.)."
2nd and 7 at MARITIME49,"Shamar Gray rush for 24 yards to the MARITIME25 (Snuffer, J.)."
1st and 10 at MARITIME25,"Michael Fowler rush for 11 yards to the MARITIME14 (Corsfield, J.)."
1st and 10 at MARITIME14,"Mike-Ryan Mofor rush for 8 yards to the MARITIME06 (Corsfield, J.; Lupardo, J.)."
2nd and 2 at MARITIME06,"Hopeton Mair rush for 2 yards to the MARITIME04 (Varga, J.; Snuffer, J.)."
1st and GOAL at MARITIME04,"Jack Lanham rush for 4 yards to the MARITIME00, TOUCHDOWN, clock 11:28."
1st and GOAL at MARITIME03,B. Schrecongost kick attempt good.
1st and 10 at SAL35,"B. Schrecongost kickoff 52 yards to the MARITIME13, Schiavone, C. return 16 yards to the MARITIME29 (Sam Pagella)."
Total,"7 plays , 64 yards Time of Possession: 03:32"
Maritime (N.Y.) at 11:22
1st and 10 at MARITIME29,Maritime (N.Y.) drive start at 11:22.
1st and 10 at MARITIME29,"Lynn, J. pass incomplete, PENALTY MARITIME intentional grounding (Lynn, J.) 13 yards to the MARITIME16, NO PLAY."
2nd and 23 at MARITIME16,"Schiavone, C. rush for 2 yards to the MARITIME18, fumble forced by P. Bernardo, fumble by Schiavone, C. recovered by SAL Joseph Manso at MARITIME18."
Total,"2 plays , -11 yards Time of Possession: 00:18"
Salisbury at 11:04
1st and 10 at MARITIME18,Salisbury drive start at 11:04.
1st and 10 at MARITIME18,"Chad Gleason rush for 18 yards to the MARITIME00, TOUCHDOWN, clock 10:55, PENALTY MARITIME offside declined."
1st and GOAL at MARITIME03,B. Schrecongost kick attempt good.
1st and 10 at SAL35,"B. Schrecongost kickoff 55 yards to the MARITIME10, Schiavone, C. return 32 yards to the MARITIME42 (Troy Garrett), PENALTY MARITIME holding (Shamoun, I.) 24 yards to the MARITIME18."
Total,"1 plays , 18 yards Time of Possession: 00:09"
Maritime (N.Y.) at 10:43
1st and 10 at MARITIME18,Maritime (N.Y.) drive start at 10:43.
