PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
1,K,No Info,No Info,-35,KO,No Info,Need to make things methods
2,O,No Info,No Info,No info,---,---,---
3,O,1,10,-43,No Info,No Info,No Info
4,O,1,10,-43,Pass,8,Complete
5,O,2,2,49,Pass,0,Incomplete
6,O,3,2,49,Run,2,Rush
7,O,1,10,47,Run,8,Rush
8,O,2,2,39,Pass,0,Incomplete
9,O,3,2,39,Run,4,Rush
10,O,1,10,35,Run,2,Rush
11,O,2,8,33,Run,4,Rush
12,O,3,4,29,Pass,14,Complete
13,O,1,10,15,Run,5,Rush
14,O,2,5,10,Run,-1,Rush
15,O,3,6,11,Pass,0,Incomplete
16,K,4,6,11,FG,No Info,Good
17,K,1,35,HELP,KO,No Info,Return
18,K,No Info,No Info,No info,No Info,No Info,No Info
19,D,No Info,No Info,No info,---,---,---
20,D,1,10,-33,No Info,No Info,No Info
21,D,1,10,-33,Run,10,Rush
22,D,1,10,-43,Run,7,Rush
23,D,2,3,50,Run,11,Rush
24,D,1,10,39,Run,5,Rush
25,D,2,5,34,Pass,7,Complete
26,D,1,10,27,Run,-2,Rush
27,D,2,12,29,Pass,0,Incomplete
28,D,3,12,29,Run,9,Rush
29,D,4,3,20,Run,2,Rush
30,D,No Info,No Info,No info,No Info,No Info,No Info
31,O,No Info,No Info,No info,---,---,---
32,O,1,10,-18,No Info,No Info,No Info
33,O,1,10,-18,Run,3,Rush
34,O,2,7,-21,Pass,24,Complete
35,O,1,10,-45,Run,12,Rush
36,O,1,10,43,Pass,11,Complete
37,O,1,10,32,Run,10,Rush
38,O,1,10,22,Run,2,Rush
39,O,2,8,20,Run,12,Rush
40,O,1,08,08,Pass,0,Incomplete
41,O,2,08,08,Run,2,Rush
42,O,3,06,06,Run,4,"Fumble, Def TD"
43,K,1,03,03,Extra Pt.,No Info,Good
44,K,1,35,HELP,KO,No Info,Return
45,K,No Info,No Info,No info,No Info,No Info,No Info
46,D,No Info,No Info,No info,---,---,---
47,D,1,10,42,No Info,No Info,No Info
48,D,No Info,No Info,No info,---,---,---
49,D,1,10,42,No Info,No Info,No Info
50,D,1,10,42,Pass,17,Complete
51,D,1,20,-48,Run,10,Rush
52,D,2,10,42,Run,2,Rush
53,D,3,8,40,Pass,10,Complete
54,D,1,10,30,Run,0,Rush
55,D,2,10,30,Pass,0,Incomplete
56,D,3,10,30,Pass,5,Complete
57,D,4,5,25,Run,25,"Rush, TD"
58,K,1,03,03,Extra Pt.,No Info,No Info
59,K,1,35,HELP,KO,No Info,Fair Catch
60,K,No Info,No Info,No info,No Info,No Info,No Info
61,O,No Info,No Info,No info,---,---,---
62,O,1,10,-35,No Info,No Info,No Info
63,O,1,10,-35,Run,11,Fumble
64,O,No Info,No Info,No info,No Info,No Info,No Info
65,D,No Info,No Info,No info,---,---,---
66,D,1,10,46,No Info,No Info,No Info
67,D,1,10,46,Run,7,Rush
68,D,2,3,39,Run,24,Rush
69,D,1,10,15,Run,1,Rush
70,D,2,9,14,Run,2,Rush
71,D,3,7,12,Run,3,Rush
72,D,4,4,09,Run,3,Rush
73,D,No Info,No Info,No info,No Info,No Info,No Info
74,O,No Info,No Info,No info,---,---,---
75,O,1,10,-06,No Info,No Info,No Info
76,O,1,10,-06,Run,8,Rush
77,O,2,2,-14,Pass,8,Complete
78,O,1,10,-22,Run,26,Rush
79,O,1,10,-48,Run,11,Rush
