PLAY #,ODK,DN,DIST,YARD LN,PLAY TYPE,GN/LS,RESULT
1,X,No Info,No Info,No info,---,---,---
2,X,No Info,No Info,No info,---,---,---
3,K,No Info,No Info,-35,KO,No Info,Need to make things methods
4,D,No Info,No Info,No info,---,---,---
5,D,1,10,-25,Run,3,Rush
6,D,2,7,-28,Run,2,Rush
7,D,3,5,-30,Pass,4,Complete
8,K,4,1,-34,PUNT,No Info,Fair Catch
9,K,No Info,No Info,No info,No Info,No Info,No Info
10,O,No Info,No Info,No info,---,---,---
11,O,1,10,-17,No Info,No Info,No Info
12,O,1,10,-17,Run,12,Rush
13,O,1,10,-29,No Info,-7,Sack
14,O,2,17,-22,Pass,3,Complete
15,O,3,14,-25,Pass,7,Complete
16,K,4,7,-32,PUNT,No Info,Return
17,K,No Info,No Info,No info,No Info,No Info,No Info
18,D,No Info,No Info,No info,---,---,---
19,D,1,10,-22,No Info,No Info,No Info
20,D,1,10,-22,Pass,71,Complete
21,D,1,07,07,Run,1,Rush
22,D,2,06,06,Run,6,"Rush, TD"
23,K,1,03,03,Extra Pt.,No Info,Good
24,K,1,35,HELP,KO,No Info,Touchback
25,K,No Info,No Info,No info,No Info,No Info,No Info
26,O,No Info,No Info,No info,---,---,---
27,O,1,10,-25,No Info,No Info,No Info
28,O,1,10,-25,No Info,No Info,Penalty
29,O,1,15,-20,Run,-1,Rush
30,O,2,16,-19,Run,2,Rush
31,O,3,14,-21,Pass,0,Incomplete
32,K,4,14,-21,PUNT,No Info,Fumble
33,K,No Info,No Info,No info,No Info,No Info,No Info
34,D,No Info,No Info,No info,---,---,---
35,D,1,10,-39,No Info,No Info,No Info
36,D,1,10,-39,Run,3,Rush
37,D,2,7,-42,Run,13,Rush
38,D,1,10,45,Pass,26,Complete
39,D,1,10,19,Run,0,Rush
40,D,2,10,19,Pass,0,Incomplete
41,D,3,10,19,No Info,-8,Sack
42,K,4,18,27,FG,No Info,Good
43,K,1,35,HELP,No Info,No Info,Penalty
44,K,1,20,HELP,KO,No Info,Return
45,K,No Info,No Info,No info,No Info,No Info,No Info
46,O,No Info,No Info,No info,---,---,---
47,O,1,10,-47,No Info,No Info,No Info
48,O,1,10,-47,Run,2,Rush
49,O,2,8,-49,Run,-2,Rush
50,O,3,10,-47,Pass,0,Incomplete
51,K,4,10,-47,PUNT,No Info,Fair Catch
52,K,No Info,No Info,No info,No Info,No Info,No Info
53,D,No Info,No Info,No info,---,---,---
54,D,1,10,-16,No Info,No Info,No Info
55,D,1,10,-16,Pass,2,Complete
56,D,2,8,-18,Pass,17,Complete
57,D,1,10,-35,Run,0,Rush
58,D,2,10,-35,Run,2,Rush
59,D,3,8,-37,Run,11,Rush
60,D,3,18,-27,No Info,No Info,Penalty
61,D,3,23,-22,Run,4,Rush
62,D,No Info,No Info,No info,---,---,---
63,D,4,19,-26,No Info,No Info,No Info
64,K,4,19,-26,PUNT,No Info,Downed
65,K,No Info,No Info,No info,No Info,No Info,No Info
66,O,No Info,No Info,No info,---,---,---
67,O,1,10,-32,No Info,No Info,No Info
68,O,1,10,-32,Run,7,Rush
69,O,2,3,-39,Run,0,Rush
70,O,3,3,-39,No Info,-7,Sack
71,K,4,10,-32,PUNT,No Info,Fair Catch
72,K,No Info,No Info,No info,No Info,No Info,No Info
73,D,No Info,No Info,No info,---,---,---
74,D,1,10,-29,No Info,No Info,No Info
75,D,1,10,-29,Pass,0,Incomplete
76,D,2,10,-29,Run,11,Rush
77,D,1,10,-40,No Info,-9,"Sack, Fumble"
78,D,No Info,No Info,No info,No Info,No Info,No Info
79,O,No Info,No Info,No info,---,---,---
80,O,1,10,29,No Info,No Info,No Info
81,O,1,10,29,Run,-2,Rush
82,O,2,12,31,Pass,5,Complete
83,O,3,7,26,Pass,0,Incomplete
84,K,4,7,26,FG,No Info,Good
85,K,1,35,HELP,KO,No Info,Return
86,K,No Info,No Info,No info,No Info,No Info,No Info
