BU wins the toss and defer. OSU will receive and defend the east
BU ball on BU35.
"Sedwick,Jay kickoff 59 yards to the OSU6, Brown, LD return 14 yards to the OSU20 (Slinker,Trystan)."
Oklahoma State at 15:00
1st and 10 at OSU20,"Sanders,Spencer pass complete to Wallace, Tylan for 9 yards to the OSU29 (Houston,Jameson;Williams,Jordan), PENALTY OSU pass interference (Woods, Jelani) 10 yards to the OSU10, NO PLAY."
1st and 20 at OSU10,"Hubbard, Chuba rush for 5 yards to the OSU15 (Roy,Bravvion)."
2nd and 15 at OSU15,"Sanders,Spencer pass complete to Woods, Jelani for 9 yards to the OSU24, out-of-bounds (Houston,Jameson)."
3rd and 6 at OSU24,"Sanders,Spencer pass incomplete to Stoner, Dillon."
4th and 6 at OSU24,"Hutton, Tom punt 38 yards to the BU38, fair catch by Sneed,R.J.."
Total,"3 plays , 4 yards Time of Possession: 1:36"
Baylor at 13:24
1st and 10 at BU38,BAYLOR drive start at 13:24.
1st and 10 at BU38,"Brewer,Charlie rush for 17 yards to the OSU45, 1ST DOWN BU (Green, A.J.)."
1st and 10 at OSU45,"Lovett,John rush for 20 yards to the OSU25, 1ST DOWN BU (Sterling, Tre;Rodriguez, M.)."
1st and 10 at OSU25,"Lovett,John rush for 25 yards to the OSU0, 1ST DOWN BU, TOUCHDOWN, clock 12:06."
1st and GOAL at OSU03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Sedwick,Jay kickoff 58 yards to the OSU7, Brown, LD return 15 yards to the OSU22 (Morgan,C.)."
Total,"3 plays , 62 yards Time of Possession: 1:18"
Oklahoma State at 12:06
1st and 10 at OSU22,OKLAHOMA STATE drive start at 12:06.
1st and 10 at OSU22,"Hubbard, Chuba rush for 11 yards to the OSU33, 1ST DOWN OSU (Miller,Chris)."
1st and 10 at OSU33,"Hubbard, Chuba rush for 6 yards to the OSU39 (Williams,Jordan)."
2nd and 4 at OSU39,"Sanders,Spencer pass complete to Woods, Jelani for 5 yards to the OSU44, 1ST DOWN OSU, out-of-bounds."
1st and 10 at OSU44,"Sanders,Spencer pass incomplete to Wallace, Tylan."
2nd and 10 at OSU44,"Brown, LD rush for 3 yards to the OSU47 (Bernard,Terrel;Black,Henry)."
3rd and 7 at OSU47,"Sanders,Spencer pass complete to Brown, LD for 8 yards to the BU45, 1ST DOWN OSU (Miller,Chris)."
1st and 10 at BU45,"Hubbard, Chuba rush for 2 yards to the BU43 (Miller,Chris)."
2nd and 8 at BU43,"Sanders,Spencer pass complete to Hubbard, Chuba for 2 yards to the BU41 (Lynch,Blake)."
3rd and 6 at BU41,"Sanders,Spencer pass complete to McCray, Jordan for 9 yards to the BU32, 1ST DOWN OSU (Texada,Raleigh)."
1st and 10 at BU32,"Hubbard, Chuba rush for 4 yards to the BU28 (Lynch,Blake;Bernard,Terrel)."
2nd and 6 at BU28,"Sanders,Spencer pass incomplete to Wallace, Tylan (Black,Henry), PENALTY BU false start (Woods,J.T.) 5 yards to the BU23, NO PLAY."
2nd and 1 at BU23,"Brown, LD rush for 3 yards to the BU20, 1ST DOWN OSU (Pitre,Jalen)."
1st and 10 at BU20,"Hubbard, Chuba rush for 15 yards to the BU5, 1ST DOWN OSU (Woods,J.T.)."
1st and GOAL at BU05,"Sanders,Spencer pass complete to McCray, Jordan for 5 yards to the BU0, TOUCHDOWN, clock 06:37."
1st and GOAL at BU03,"Ammendola, Matt kick attempt failed (blocked) (blocked by Lynch,James)."
1st and GOAL at OSU35,"McClure, Jake kickoff 65 yards to the BU0, touchback."
Total,"13 plays , 78 yards Time of Possession: 5:29"
Baylor at 06:37
1st and 10 at BU25,BAYLOR drive start at 06:37.
1st and 10 at BU25,"Brewer,Charlie rush for 1 yard to the BU26 (Martin, Brock)."
2nd and 9 at BU26,"Brewer,Charlie pass complete to Mims,Denzel for 16 yards to the BU42, 1ST DOWN BU (Williams, R.)."
1st and 10 at BU42,"Platt,Chris rush for loss of 3 yards to the BU39 (Ogbongbemiga, A)."
2nd and 13 at BU39,"Brewer,Charlie pass complete to Thornton,Tyquan for 18 yards to the OSU43, 1ST DOWN BU (Rodriguez, M.)."
1st and 10 at OSU43,"Hasty,JaMycal rush for 18 yards to the OSU25, fumble forced by Rodriguez, M., fumble by Hasty,JaMycal recovered by OSU Rodriguez, M. at OSU24 (Atkinson,Jared)."
Total,"5 plays , 51 yards Time of Possession: 2:16"
Oklahoma State at 04:21
1st and 10 at OSU24,OKLAHOMA STATE drive start at 04:21.
1st and 10 at OSU24,"Hubbard, Chuba rush for 1 yard to the OSU25 (Matiscik,Ross;Roy,Bravvion)."
2nd and 9 at OSU25,"PENALTY OSU false start (Carter, Logan) 5 yards to the OSU20."
