"BU Captains: 3 Miller, 6 Hasty, 38 Williams, 52 Tecklenburg
                                                        
                                                                OU Captains: 1 Hurts, 9 Murray, 56 Humphrey, 90 Gallimore
                                                            
                                                                Oklahoma wins toss, defers; Baylor receives, defends north end zone."
OU ball on OU35.
"Brkic, Gabe kickoff 65 yards to the BU0, touchback."
Baylor at 15:00
1st and 10 at BU25,"Brewer,Charlie rush for 6 yards to the BU31 (White, DaShaun)."
2nd and 4 at BU31,"Brewer,Charlie rush for 7 yards to the BU38, 1ST DOWN BU (Radley-Hiles, B)."
1st and 10 at BU38,"Fleeks,Josh rush for 2 yards to the BU40 (Gallimore, N.;Brown, Tre)."
2nd and 8 at BU40,"Brewer,Charlie pass incomplete to Hasty,JaMycal, QB hurry by Bonitto, Nik."
3rd and 8 at BU40,"Brewer,Charlie sacked for loss of 6 yards to the BU34 (Perkins, Ronnie)."
4th and 14 at BU34,"Power,Issac punt 19 yards to the OU47, out-of-bounds."
Total,"5 plays , 9 yards Time of Possession: 2:12"
Oklahoma at 12:48
1st and 10 at OU47,OKLAHOMA drive start at 12:48.
1st and 10 at OU47,"Brooks, Kennedy rush for 3 yards to the 50 yardline (Roy,Bravvion;Williams,Jordan)."
2nd and 7 at OU50,"Brooks, Kennedy rush for 4 yards to the BU46 (Lynch,Blake)."
3rd and 3 at BU46,"PENALTY OU false start (Swenson, Erik) 5 yards to the OU49."
3rd and 8 at OU49,"Hurts, Jalen pass complete to Miller, A.D. for 17 yards to the BU34, 1ST DOWN OU."
1st and 10 at BU34,"Brooks, Kennedy rush for 11 yards to the BU23, 1ST DOWN OU (Arnold,Grayland;Miller,Chris)."
1st and 10 at BU23,"Hurts, Jalen pass complete to Basquine, Nick for 5 yards to the BU18, out-of-bounds (Arnold,Grayland)."
2nd and 5 at BU18,"Hurts, Jalen pass incomplete to Rambo, C.."
3rd and 5 at BU18,"Hurts, Jalen sacked for loss of 4 yards to the BU22 (Roy,Bravvion)."
4th and 9 at BU22,"Brkic, Gabe field goal attempt from 39 GOOD, clock 09:25."
1st and GOAL at OU35,"Brkic, Gabe kickoff 64 yards to the BU1, Hasty,JaMycal return 21 yards to the BU22 (Asamoah, Brian)."
Total,"8 plays , 31 yards Time of Possession: 3:23"
Baylor at 09:25
1st and 10 at BU22,BAYLOR drive start at 09:25.
1st and 10 at BU22,"Brewer,Charlie pass incomplete to Mims,Denzel."
2nd and 10 at BU22,"Brewer,Charlie pass complete to Mims,Denzel for 11 yards to the BU33, 1ST DOWN BU (Motley, Parnell)."
1st and 10 at BU33,"Brewer,Charlie pass complete to Platt,Chris for 14 yards to the BU47, 1ST DOWN BU (Fields, Pat)."
1st and 10 at BU47,"Brewer,Charlie rush for 7 yards to the OU46 (Redmond, Jalen)."
2nd and 3 at OU46,"Lovett,John rush for 5 yards to the OU41, 1ST DOWN BU (Fields, Pat;Bonitto, Nik)."
1st and 10 at OU41,"Brewer,Charlie pass complete to Fleeks,Josh for 2 yards to the OU39."
2nd and 8 at OU39,"Brewer,Charlie rush for 2 yards to the OU37 (Murray, Kenneth)."
3rd and 6 at OU37,"Brewer,Charlie pass complete to Sneed,R.J. for 11 yards to the OU26, 1ST DOWN BU (White, DaShaun;Radley-Hiles, B)."
1st and 10 at OU26,"Brewer,Charlie pass complete to Lovett,John for 24 yards to the OU2, 1ST DOWN BU, out-of-bounds (Fields, Pat)."
1st and GOAL at OU02,"Brewer,Charlie rush for 2 yards to the OU0, TOUCHDOWN, clock 05:26, PENALTY OU offside defense declined."
1st and GOAL at OU03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 63 yards to the OU2, Brown, Tre return 20 yards to the OU22, fumble forced by Milton,Mark, fumble by Brown, Tre recovered by OU Willis, Brayden at OU22, PENALTY OU holding (Bridges, Trejan) 10 yards to the OU12, 1st and 10, OU ball on OU12."
Total,"10 plays , 78 yards Time of Possession: 3:59"
Oklahoma at 05:26
1st and 10 at OU12,OKLAHOMA drive start at 05:26.
1st and 10 at OU12,"Hurts, Jalen pass incomplete to Wease, Theo, QB hurry by Lynch,Blake."
2nd and 10 at OU12,"Brooks, Kennedy rush for 4 yards to the OU16 (Williams,Jordan;Lockhart,James)."
3rd and 6 at OU16,"Hurts, Jalen sacked for loss of 8 yards to the OU8 (Lynch,Blake;Bernard,Terrel)."
4th and 14 at OU08,"Mundschau, R. punt 46 yards to the BU46, downed."
Total,"3 plays , -4 yards Time of Possession: 1:52"
Baylor at 03:34
1st and 10 at BU46,BAYLOR drive start at 03:34.
1st and 10 at BU46,"Brewer,Charlie pass incomplete to Sneed,R.J. (Gallimore, N.)."
2nd and 10 at BU46,"Brewer,Charlie rush for 12 yards to the OU42, 1ST DOWN BU."
1st and 10 at OU42,"Hasty,JaMycal rush for 9 yards to the OU33 (Murray, Kenneth)."
2nd and 1 at OU33,"Brewer,Charlie rush for 3 yards to the OU30, 1ST DOWN BU (Ugwoegbu, D.)."
1st and 10 at OU30,"Brewer,Charlie pass complete to Mims,Denzel for 30 yards to the OU0, 1ST DOWN BU, TOUCHDOWN, clock 01:51."
1st and GOAL at OU03,"Mayers,John kick attempt good."
1st and GOAL at BU35,"Rauschenberg,N. kickoff 57 yards to the OU8, Brown, Tre return 4 yards to the OU12 (Jackson,Bryson), PENALTY OU illegal block (Bridges, Trejan) 6 yards to the OU6, 1st and 10, OU ball on OU6."
Total,"5 plays , 54 yards Time of Possession: 1:43"
Oklahoma at 01:51
1st and 10 at OU06,OKLAHOMA drive start at 01:51.
1st and 10 at OU06,"Stevenson, R. rush for 6 yards to the OU12 (Bernard,Terrel;Roy,Bravvion)."
2nd and 4 at OU12,"Hurts, Jalen rush for 6 yards to the OU18, 1ST DOWN OU (Lynch,Blake)."
1st and 10 at OU18,"Hurts, Jalen pass complete to Miller, A.D. for 22 yards to the OU40, 1ST DOWN OU (Barnes,Kalon;Williams,Jordan)."
1st and 10 at OU40,"Brooks, Kennedy rush for 3 yards to the OU43 (Lynch,James;Lockhart,James)."
2nd and 7 at OU43,"Hurts, Jalen sacked for loss of 15 yards to the OU28 (Lynch,Blake), fumble by Hurts, Jalen recovered by BU Bernard,Terrel at OU27."
Total,"5 plays , 21 yards Time of Possession: 1:50"
Baylor at 00:01
