"BU Captains: 1 Arnold, 7 Lovett, 55 Newman, 93 Lynch
                                                        
                                                                UT Captains: 6 Duvernay, 9 Johnson, 19 Jones, 56 Shackelford
                                                            
                                                                Texas wins toss, defers; Baylor receives, defends north end zone."
UT ball on UT35.
"Cameron Dicker kickoff 65 yards to the BU0, touchback."
Baylor at 15:00
1st and 10 at BU25,"Lovett,John rush for 11 yards to the BU36, 1ST DOWN BU (DeMar Overshown;Caden Sterns)."
1st and 10 at BU36,"Brewer,Charlie pass complete to Platt,Chris for 44 yards to the UT20, fumble forced by D'Shawn Jamison, fumble by Platt,Chris recovered by UT Chris Brown at UT18."
Total,"2 plays , 57 yards Time of Possession: 0:29"
Texas at 14:31
1st and 10 at UT18,TEXAS drive start at 14:31.
1st and 10 at UT18,"Sam Ehlinger pass complete to Devin Duvernay for 3 yards to the UT21 (Texada,Raleigh)."
2nd and 7 at UT21,"Keaontay Ingram rush for 1 yard to the UT22 (Black,Henry;Williams,Jordan)."
3rd and 6 at UT22,"Timeout Texas, clock 13:30."
3rd and 6 at UT22,"PENALTY BU offside defense (Houston,Jameson) 5 yards to the UT27."
3rd and 1 at UT27,"Sam Ehlinger rush for 8 yards to the UT35, 1ST DOWN UT (Bernard,Terrel)."
1st and 10 at UT35,"Keaontay Ingram rush for no gain to the UT35 (Roy,Bravvion;Lockhart,James)."
2nd and 10 at UT35,"Sam Ehlinger pass complete to Brennan Eagles for 10 yards to the UT45, 1ST DOWN UT, out-of-bounds (Arnold,Grayland)."
1st and 10 at UT45,"Sam Ehlinger pass complete to Malcolm Epps for 7 yards to the BU48, out-of-bounds (Arnold,Grayland)."
2nd and 3 at BU48,"Sam Ehlinger rush for 4 yards to the BU44, 1ST DOWN UT (Bernard,Terrel)."
1st and 10 at BU44,"Sam Ehlinger pass incomplete to Malcolm Epps, QB hurry by Lynch,Blake."
2nd and 10 at BU44,"Sam Ehlinger pass incomplete to Jake Smith (Ogbonnaya,Chidi)."
3rd and 10 at BU44,"Sam Ehlinger rush for 5 yards to the BU39 (Bernard,Terrel;Roy,Bravvion)."
4th and 5 at BU39,PENALTY UT delay of game 5 yards to the BU44.
4th and 10 at BU44,"Chris Naggar punt 33 yards to the BU11, fair catch by Arnold,Grayland."
Total,"10 plays , 38 yards Time of Possession: 5:07"
Baylor at 09:24
1st and 10 at BU11,BAYLOR drive start at 09:24.
1st and 10 at BU11,"Brewer,Charlie pass complete to Mims,Denzel for 11 yards to the BU22, 1ST DOWN BU (Caden Sterns;Jalen Green)."
1st and 10 at BU22,"Brewer,Charlie rush for 2 yards to the BU24 (Joseph Ossai)."
2nd and 8 at BU24,"Brewer,Charlie pass complete to Atkinson,Jared for 6 yards to the BU30."
3rd and 2 at BU30,"Brewer,Charlie rush for 4 yards to the BU34, 1ST DOWN BU (Joseph Ossai)."
1st and 10 at BU34,"Lovett,John rush for loss of 2 yards to the BU32 (DeMar Overshown)."
2nd and 12 at BU32,"Brewer,Charlie pass complete to Hasty,JaMycal for 3 yards to the BU35 (Caden Sterns)."
3rd and 9 at BU35,"Brewer,Charlie pass complete to Platt,Chris for 7 yards to the BU42 (Ayodele Adeoye)."
4th and 2 at BU42,"Power,Issac punt 52 yards to the UT6, downed."
Total,"7 plays , 31 yards Time of Possession: 4:05"
Texas at 05:19
1st and 10 at UT06,TEXAS drive start at 05:19.
1st and 10 at UT06,"Keaontay Ingram rush for 4 yards to the UT10 (Miller,Chris), PENALTY BU offside defense (Ogbonnaya,Chidi) 5 yards to the UT11, NO PLAY."
1st and 5 at UT11,"Sam Ehlinger rush for 15 yards to the UT26, 1ST DOWN UT (Black,Henry)."
1st and 10 at UT26,Sam Ehlinger pass incomplete to Devin Duvernay.
2nd and 10 at UT26,"Sam Ehlinger pass complete to Devin Duvernay for loss of 5 yards to the UT21 (Texada,Raleigh)."
3rd and 15 at UT21,"Sam Ehlinger pass complete to Keaontay Ingram for 10 yards to the UT31 (Miller,Chris)."
4th and 5 at UT31,"Chris Naggar punt 19 yards to the 50 yardline, downed."
Total,"4 plays , 25 yards Time of Possession: 2:37"
Baylor at 02:42
1st and 10 at BU50,BAYLOR drive start at 02:42.
1st and 10 at BU50,"Brewer,Charlie pass incomplete to Ebner,Trestan, dropped pass."
2nd and 10 at BU50,"Brewer,Charlie rush for 9 yards to the UT41 (Joseph Ossai)."
3rd and 1 at UT41,"Brewer,Charlie rush for 1 yard to the UT40, 1ST DOWN BU."
1st and 10 at UT40,"Ebner,Trestan rush for 6 yards to the UT34 (Ayodele Adeoye;Chris Brown)."
2nd and 4 at UT34,"Brewer,Charlie rush for 3 yards to the UT31 (Malcolm Roach)."
3rd and 1 at UT31,"Brewer,Charlie rush for 3 yards to the UT28, 1ST DOWN BU (Joseph Ossai)."
""
