Baylor wins toss and defers; OU to receive and defend East end zone.
BU ball on BU35.
"Rauschenberg,N. kickoff 65 yards to the OU0, touchback."
Oklahoma at 15:00
1st and 10 at OU25,"Brooks, Kennedy rush for 3 yards to the OU28 (Arnold,Grayland;Bernard,Terrel)."
2nd and 7 at OU28,"Lamb, CeeDee rush for 2 yards to the OU30 (Arnold,Grayland)."
3rd and 5 at OU30,"Hurts, Jalen pass complete to Rambo, C. for 4 yards to the OU34, out-of-bounds (Houston,Jameson)."
4th and 1 at OU34,"Mundschau, R. punt 49 yards to the BU17, fair catch by Arnold,Grayland."
Total,"3 plays , 9 yards Time of Possession: 1:38"
Baylor at 13:22
1st and 10 at BU17,BAYLOR drive start at 13:22.
1st and 10 at BU17,"Lovett,John rush for 12 yards to the BU29, 1ST DOWN BU (Murray, Kenneth;Fields, Pat)."
1st and 10 at BU29,"Brewer,Charlie sacked for loss of 7 yards to the BU22 (Bonitto, Nik)."
2nd and 17 at BU22,"Brewer,Charlie pass complete to Ebner,Trestan for 3 yards to the BU25 (Murray, Kenneth)."
3rd and 14 at BU25,"Brewer,Charlie pass complete to Henle,Christoph for 7 yards to the BU32 (Murray, Kenneth;Bonitto, Nik)."
4th and 7 at BU32,"Power,Issac punt 49 yards to the OU19, Lamb, CeeDee return 3 yards to the OU22 (Woods,J.T.)."
Total,"4 plays , 15 yards Time of Possession: 2:30"
Oklahoma at 10:52
1st and 10 at OU22,OKLAHOMA drive start at 10:52.
1st and 10 at OU22,"Hurts, Jalen pass complete to Lamb, CeeDee for 71 yards to the BU7, 1ST DOWN OU (Black,Henry)."
1st and GOAL at BU07,"Hurts, Jalen rush for 1 yard to the BU6 (Williams,Jordan)."
2nd and GOAL at BU06,"Brooks, Kennedy rush for 6 yards to the BU0, TOUCHDOWN, clock 09:31."
1st and GOAL at BU03,"Brkic, Gabe kick attempt good."
1st and GOAL at OU35,"Brkic, Gabe kickoff 65 yards to the BU0, touchback."
Total,"3 plays , 78 yards Time of Possession: 1:21"
Baylor at 09:31
1st and 10 at BU25,BAYLOR drive start at 09:31.
1st and 10 at BU25,"PENALTY BU false start (Saulin,Rob) 5 yards to the BU20."
1st and 15 at BU20,"Ebner,Trestan rush for loss of 1 yard to the BU19 (Turner-Yell, D.;Bonitto, Nik)."
2nd and 16 at BU19,"Brewer,Charlie rush for 2 yards to the BU21, out-of-bounds (Murray, Kenneth)."
3rd and 14 at BU21,"Brewer,Charlie pass incomplete to Platt,Chris."
4th and 14 at BU21,"Power,Issac punt 38 yards to the OU41, Lamb, CeeDee return 0 yards to the OU41, fumble by Lamb, CeeDee recovered by OU Lamb, CeeDee at OU39."
Total,"3 plays , -4 yards Time of Possession: 1:34"
Oklahoma at 07:57
1st and 10 at OU39,"OKLAHOMA drive start at 07:57, OU ball on OU39."
1st and 10 at OU39,"Hurts, Jalen rush for 3 yards to the OU42 (Lockhart,James;Miller,Chris)."
2nd and 7 at OU42,"Brooks, Kennedy rush for 13 yards to the BU45, 1ST DOWN OU (Williams,Jordan)."
1st and 10 at BU45,"Hurts, Jalen pass complete to Lamb, CeeDee for 26 yards to the BU19, 1ST DOWN OU (Miller,Chris)."
1st and 10 at BU19,"Brooks, Kennedy rush for no gain to the BU19 (Lockhart,James)."
2nd and 10 at BU19,"Hurts, Jalen pass incomplete to Rambo, C..
                                                    
                                                                Previous play reviewed and call is confirmed."
3rd and 10 at BU19,"Hurts, Jalen sacked for loss of 8 yards to the BU27 (Lockhart,James)."
4th and 18 at BU27,"Brkic, Gabe field goal attempt from 44 GOOD, clock 04:51."
1st and GOAL at OU35,"PENALTY OU unsportsmanlike conduct (Hayes, Marquis) 15 yards to the OU20."
1st and GOAL at OU20,"Brkic, Gabe kickoff 52 yards to the BU28, Hasty,JaMycal return 19 yards to the BU47, out-of-bounds (Stevenson, R.)."
Total,"7 plays , 34 yards Time of Possession: 3:06"
Baylor at 04:47
1st and 10 at BU47,BAYLOR drive start at 04:47.
1st and 10 at BU47,"Brewer,Charlie rush for 2 yards to the BU49 (Murray, Kenneth)."
2nd and 8 at BU49,"Lovett,John rush for loss of 2 yards to the BU47 (Fields, Pat)."
3rd and 10 at BU47,"Brewer,Charlie pass incomplete to Thornton,Tyquan (Brown, Tre), QB hurry by Turner-Yell, D.."
4th and 10 at BU47,"Power,Issac punt 37 yards to the OU16, fair catch by Lamb, CeeDee."
